Date,Open,High,Low,Close,Volume
12/31/2020,"46.77","46.86","46.57","46.80","49,410"
12/30/2020,"46.82","47.02","46.82","46.83","44,867"
12/29/2020,"46.93","47.09","46.55","46.71","59,813"
12/28/2020,"46.68","46.80","46.51","46.54","37,906"
12/24/2020,"46.19","46.33","46.10","46.33","20,397"
12/23/2020,"46.16","46.33","46.16","46.20","45,563"
12/22/2020,"45.88","45.94","45.71","45.86","40,972"
12/21/2020,"45.16","45.90","45.00","45.87","51,562"
12/18/2020,"47.00","47.13","46.64","46.80","69,973"
12/17/2020,"46.97","47.18","46.88","47.04","110,070"
12/16/2020,"46.91","47.04","46.54","46.62","49,075"
12/15/2020,"46.02","46.79","46.02","46.76","55,129"
12/14/2020,"46.39","46.48","45.86","45.86","44,100"
12/11/2020,"45.77","45.97","45.66","45.93","30,666"
12/10/2020,"46.00","46.11","45.80","46.02","120,253"
12/09/2020,"46.24","46.36","46.00","46.23","37,270"
12/08/2020,"45.76","46.08","45.76","46.03","36,822"
12/07/2020,"45.88","46.00","45.72","45.86","34,582"
12/04/2020,"46.02","46.19","45.95","46.00","30,034"
12/03/2020,"45.90","46.26","45.82","45.93","41,767"
12/02/2020,"45.71","45.86","45.59","45.78","90,329"
12/01/2020,"45.72","46.03","45.72","45.99","35,974"
11/30/2020,"45.75","45.75","45.18","45.22","40,390"
11/27/2020,"45.76","45.87","45.62","45.79","42,092"
11/25/2020,"45.73","45.77","45.49","45.68","27,894"
11/24/2020,"45.49","45.93","45.43","45.80","30,711"
11/23/2020,"45.54","45.63","45.30","45.37","34,751"
11/20/2020,"45.37","45.55","45.29","45.48","27,829"
11/19/2020,"45.21","45.36","45.00","45.36","26,472"
11/18/2020,"45.89","45.93","45.22","45.22","38,897"
11/17/2020,"45.94","46.04","45.60","45.87","26,622"
11/16/2020,"46.07","46.25","45.87","46.24","40,355"
11/13/2020,"45.26","45.52","45.26","45.50","24,699"
11/12/2020,"45.69","45.79","44.85","45.14","70,150"
11/11/2020,"46.04","46.04","45.68","45.85","58,720"
11/10/2020,"45.14","45.83","45.14","45.72","49,184"
11/09/2020,"46.39","46.62","44.94","45.02","41,907"
11/06/2020,"44.26","44.48","44.22","44.34","63,476"
11/05/2020,"43.90","44.46","43.90","44.21","36,106"
11/04/2020,"43.59","43.65","42.97","43.04","38,952"
11/03/2020,"43.00","43.63","42.97","43.43","46,399"
11/02/2020,"42.04","42.38","42.01","42.33","33,735"
10/30/2020,"41.64","41.80","41.28","41.55","50,812"
10/29/2020,"41.57","41.87","41.27","41.71","54,035"
10/28/2020,"41.82","42.09","41.64","41.67","50,763"
10/27/2020,"42.99","42.99","42.73","42.73","33,608"
10/26/2020,"43.25","43.30","42.81","43.04","24,736"
10/23/2020,"43.63","43.70","43.41","43.69","30,059"
10/22/2020,"43.18","43.40","43.09","43.38","40,910"
10/21/2020,"43.19","43.44","43.12","43.13","44,911"
10/20/2020,"43.38","43.56","43.19","43.24","36,194"
10/19/2020,"43.65","43.66","43.03","43.13","164,463"
10/16/2020,"43.52","43.71","43.47","43.54","72,750"
10/15/2020,"42.84","43.36","42.84","43.30","20,279"
10/14/2020,"43.57","43.70","43.38","43.49","24,413"
10/13/2020,"43.68","43.68","43.36","43.49","27,273"
10/12/2020,"43.66","44.13","43.65","44.07","25,686"
10/09/2020,"43.28","43.53","43.21","43.44","32,919"
10/08/2020,"42.97","43.21","42.94","43.20","34,972"
10/07/2020,"42.62","42.85","42.58","42.76","40,930"
10/06/2020,"42.51","42.85","42.24","42.33","31,867"
10/05/2020,"42.00","42.43","42.00","42.40","81,455"
10/02/2020,"41.27","42.00","41.27","41.87","40,611"
10/01/2020,"41.69","41.78","41.43","41.70","54,817"
09/30/2020,"41.24","41.62","41.14","41.35","61,076"
09/29/2020,"41.16","41.34","41.07","41.21","35,829"
09/28/2020,"40.98","41.20","40.98","41.08","37,848"
09/25/2020,"40.01","40.71","39.99","40.68","33,297"
09/24/2020,"39.95","40.37","39.81","40.10","33,245"
09/23/2020,"40.77","40.77","40.03","40.04","23,763"
09/22/2020,"40.44","40.63","40.17","40.63","32,045"
09/21/2020,"40.66","40.74","40.11","40.40","47,655"
09/18/2020,"41.48","41.54","41.07","41.23","27,600"
09/17/2020,"41.08","41.50","41.02","41.47","10,668"
09/16/2020,"41.47","41.73","41.37","41.39","29,244"
09/15/2020,"41.41","41.55","41.35","41.40","17,992"
09/14/2020,"41.12","41.27","41.10","41.18","25,039"
09/11/2020,"40.77","40.93","40.58","40.80","17,196"
09/10/2020,"41.14","41.14","40.44","40.44","35,113"
