Date,Open,High,Low,Close
12/31/2020,"393.69","393.69","388.81","390.91"
12/30/2020,"392.59","398.42","392.59","394.21"
12/29/2020,"397.12","397.88","390.04","391.78"
12/28/2020,"402.89","402.90","395.19","395.33"
12/24/2020,"397.58","400.97","395.55","400.72"
12/23/2020,"401.95","403.06","396.56","396.79"
12/22/2020,"399.92","402.74","398.45","400.81"
12/21/2020,"395.00","401.59","392.38","399.20"
12/18/2020,"402.65","404.43","399.25","401.49"
12/17/2020,"395.11","405.06","395.05","401.74"
12/16/2020,"391.84","392.54","387.75","390.73"
12/15/2020,"386.18","389.96","385.45","389.74"
12/14/2020,"388.78","391.55","384.02","384.07"
12/11/2020,"382.83","386.01","381.50","384.58"
12/10/2020,"382.61","384.69","381.36","384.20"
12/09/2020,"386.22","387.29","381.57","385.23"
12/08/2020,"387.31","387.31","382.07","384.23"
12/07/2020,"385.14","391.03","382.20","391.02"
12/04/2020,"385.73","387.55","382.54","385.20"
12/03/2020,"375.23","387.01","375.23","385.12"
12/02/2020,"381.65","381.65","374.04","374.76"
12/01/2020,"389.81","390.51","382.68","383.18"
11/30/2020,"389.97","390.48","381.31","385.96"
11/27/2020,"391.75","394.00","389.07","391.12"
11/25/2020,"392.47","393.83","387.85","391.98"
11/24/2020,"397.85","397.85","390.68","391.47"
11/23/2020,"388.60","395.10","387.90","393.97"
11/20/2020,"387.72","389.89","383.72","385.89"
11/19/2020,"386.65","392.05","385.07","388.84"
11/18/2020,"386.88","391.91","386.53","387.12"
11/17/2020,"384.42","389.08","381.55","386.34"
11/16/2020,"387.85","389.29","381.22","387.00"
11/13/2020,"377.35","384.74","377.10","382.98"
11/12/2020,"380.04","381.76","370.66","373.92"
11/11/2020,"378.66","381.18","373.22","381.10"
11/10/2020,"365.93","377.96","363.47","376.03"
11/09/2020,"389.90","390.32","361.22","361.47"
11/06/2020,"388.45","388.46","377.51","378.82"
11/05/2020,"390.43","395.44","387.92","388.01"
11/04/2020,"378.28","391.63","378.16","388.01"
11/03/2020,"376.53","378.67","372.35","376.80"
11/02/2020,"366.17","371.53","365.86","371.28"
10/30/2020,"365.21","366.92","356.48","360.11"
10/29/2020,"364.59","369.54","363.56","366.20"
10/28/2020,"361.94","370.15","360.52","364.27"
10/27/2020,"376.06","376.92","369.07","369.32"
10/26/2020,"383.96","384.37","372.82","375.88"
10/23/2020,"384.87","388.80","381.98","388.59"
10/22/2020,"391.72","392.01","380.46","381.93"
10/21/2020,"401.36","402.29","390.29","391.44"
10/20/2020,"402.29","407.13","400.94","401.54"
10/19/2020,"407.87","408.20","396.93","398.87"
10/16/2020,"411.57","415.20","405.55","405.89"
10/15/2020,"400.50","410.76","400.07","409.96"
10/14/2020,"406.01","408.35","404.48","406.15"
10/13/2020,"407.50","408.03","402.01","404.83"
10/12/2020,"410.14","410.96","406.51","410.45"
10/09/2020,"410.46","411.63","406.72","407.52"
10/08/2020,"401.58","407.12","401.58","407.01"
10/07/2020,"397.07","400.85","394.73","396.63"
10/06/2020,"400.91","401.71","391.28","391.78"
10/05/2020,"400.27","403.19","393.84","398.26"
10/02/2020,"383.66","398.51","383.65","396.40"
10/01/2020,"390.55","392.87","386.13","392.45"
09/30/2020,"382.03","390.72","382.03","386.63"
09/29/2020,"384.96","385.71","379.32","380.78"
09/28/2020,"377.93","386.00","376.17","384.97"
09/25/2020,"367.47","373.24","366.11","371.13"
09/24/2020,"365.74","375.29","362.34","370.41"
09/23/2020,"382.02","383.94","366.32","366.55"
09/22/2020,"372.40","382.78","371.47","381.77"
09/21/2020,"371.19","372.47","362.84","371.13"
09/18/2020,"381.33","384.14","374.56","377.33"
09/17/2020,"379.22","383.41","377.29","381.29"
09/16/2020,"380.28","389.54","378.14","385.24"
09/15/2020,"382.03","384.83","375.70","376.38"
09/14/2020,"379.93","381.53","377.11","381.12"
09/11/2020,"371.96","376.62","371.21","375.63"
09/10/2020,"372.89","376.05","368.52","369.49"
09/09/2020,"364.57","373.69","363.96","371.57"
09/08/2020,"361.66","368.62","359.27","362.06"
09/04/2020,"375.46","377.26","359.84","366.49"
09/03/2020,"385.53","386.03","368.82","372.32"
09/02/2020,"384.70","386.62","378.31","385.64"
09/01/2020,"372.76","383.78","371.21","383.73"
08/31/2020,"379.88","380.57","373.88","373.94"
08/28/2020,"381.35","383.05","378.82","379.95"
08/27/2020,"383.98","385.65","378.68","378.88"
08/26/2020,"386.05","386.38","381.31","381.39"
08/25/2020,"389.02","389.16","381.01","385.26"
08/24/2020,"387.21","387.80","383.74","387.00"
08/21/2020,"377.84","385.85","377.69","385.27"
08/20/2020,"375.77","382.31","375.34","379.10"
08/19/2020,"380.50","381.28","378.42","379.50"
08/18/2020,"384.42","385.20","380.63","381.04"
08/17/2020,"375.45","382.67","374.90","381.27"
08/14/2020,"372.76","375.52","371.40","373.60"
08/13/2020,"374.12","377.10","372.26","375.03"
08/12/2020,"375.66","376.55","372.95","376.42"
08/11/2020,"378.61","379.85","371.50","372.26"
08/10/2020,"371.47","379.83","370.76","375.00"
08/07/2020,"366.44","370.21","365.49","370.14"
08/06/2020,"367.96","371.01","367.35","368.13"
08/05/2020,"365.83","368.94","365.03","368.21"
08/04/2020,"363.18","365.69","362.03","363.54"
08/03/2020,"360.99","365.75","359.49","364.80"
07/31/2020,"361.81","361.86","353.49","359.20"
07/30/2020,"358.33","364.08","357.41","362.16"
07/29/2020,"357.15","364.68","357.09","364.39"
07/28/2020,"365.63","368.13","354.46","355.03"
07/27/2020,"354.31","364.77","353.52","364.41"
07/24/2020,"352.14","354.69","347.74","353.31"
07/23/2020,"356.21","360.80","348.62","352.62"
07/22/2020,"341.63","352.93","341.61","352.20"
07/21/2020,"342.29","343.07","339.22","342.08"
07/20/2020,"339.36","342.36","338.22","341.55"
07/17/2020,"342.38","345.99","340.82","341.87"
07/16/2020,"332.28","340.02","331.32","339.73"
07/15/2020,"333.28","335.40","328.87","333.84"
07/14/2020,"313.27","325.62","312.64","325.53"
07/13/2020,"322.92","325.33","313.65","313.83"
07/10/2020,"314.76","320.60","314.16","320.35"
07/09/2020,"321.98","322.59","311.99","313.95"
07/08/2020,"315.40","322.98","315.30","322.04"
07/07/2020,"312.19","316.98","311.93","313.53"
07/06/2020,"313.35","315.93","311.75","315.22"
07/02/2020,"311.52","314.21","306.60","307.71"
07/01/2020,"312.37","313.13","303.79","305.31"
06/30/2020,"306.95","313.20","304.85","311.94"
06/29/2020,"300.45","308.00","296.71","306.69"
06/26/2020,"301.20","301.26","296.12","297.37"
06/25/2020,"299.07","303.63","297.50","303.29"
06/24/2020,"309.59","310.81","298.47","303.52"
06/23/2020,"316.68","317.33","312.09","314.48"
06/22/2020,"308.27","312.85","305.38","312.65"
06/19/2020,"319.74","319.83","307.56","310.28"
06/18/2020,"313.88","318.00","312.97","313.97"
06/17/2020,"322.44","323.33","316.88","317.75"
06/16/2020,"324.68","325.42","313.54","321.07"
06/15/2020,"290.61","311.22","290.17","311.01"
06/12/2020,"304.99","308.36","293.85","301.51"
06/11/2020,"300.77","306.57","291.99","292.00"
06/10/2020,"320.38","323.06","312.28","317.72"
06/09/2020,"319.35","324.41","318.67","321.84"
06/08/2020,"331.71","335.70","325.87","327.91"
06/05/2020,"327.35","330.52","323.03","326.60"
06/04/2020,"315.09","321.10","312.20","313.71"
06/03/2020,"313.06","318.69","312.78","317.52"
06/02/2020,"305.87","308.03","303.57","307.56"
06/01/2020,"300.44","306.06","298.88","302.92"
05/29/2020,"298.35","304.92","297.92","299.79"
05/28/2020,"317.47","317.68","301.34","302.70"
05/27/2020,"308.78","314.30","303.76","314.29"
05/26/2020,"298.42","300.49","296.11","298.70"
05/22/2020,"284.03","285.89","280.37","285.59"
