Date,Open,High,Low,Close
12/31/2020,"12,462.49","12,517.48","12,414.60","12,506.93"
12/30/2020,"12,433.49","12,504.87","12,427.94","12,459.23"
12/29/2020,"12,553.13","12,599.58","12,384.71","12,429.48"
12/28/2020,"12,564.17","12,654.58","12,511.44","12,524.02"
12/24/2020,"12,536.53","12,553.44","12,435.06","12,522.92"
12/23/2020,"12,482.15","12,590.63","12,474.15","12,516.57"
12/22/2020,"12,493.84","12,506.79","12,416.13","12,459.81"
12/21/2020,"12,487.46","12,538.73","12,310.26","12,485.53"
12/18/2020,"12,624.29","12,624.29","12,471.78","12,566.07"
12/17/2020,"12,522.31","12,654.02","12,477.97","12,639.18"
12/16/2020,"12,480.13","12,549.82","12,428.85","12,497.95"
12/15/2020,"12,437.66","12,531.21","12,330.96","12,486.18"
12/14/2020,"12,713.85","12,828.04","12,381.51","12,382.97"
12/11/2020,"12,660.60","12,716.12","12,597.34","12,672.38"
12/10/2020,"12,709.73","12,753.88","12,595.03","12,689.17"
12/09/2020,"12,828.20","12,917.86","12,696.12","12,803.02"
12/08/2020,"12,692.37","12,821.65","12,671.31","12,777.05"
12/07/2020,"12,737.90","12,792.62","12,659.54","12,725.21"
12/04/2020,"12,632.38","12,748.47","12,632.01","12,742.08"
12/03/2020,"12,577.05","12,711.82","12,555.96","12,586.82"
12/02/2020,"12,469.03","12,583.52","12,446.11","12,546.54"
12/01/2020,"12,494.57","12,685.49","12,485.70","12,493.74"
11/30/2020,"12,565.71","12,619.28","12,371.34","12,450.17"
11/27/2020,"12,636.89","12,668.67","12,545.96","12,561.43"
11/25/2020,"12,695.99","12,695.99","12,515.65","12,621.42"
11/24/2020,"12,538.14","12,772.74","12,525.38","12,715.38"
11/23/2020,"12,306.62","12,437.54","12,295.70","12,424.11"
11/20/2020,"12,340.43","12,379.59","12,213.97","12,232.10"
11/19/2020,"12,317.91","12,359.67","12,183.41","12,350.75"
11/18/2020,"12,464.75","12,629.96","12,347.45","12,348.31"
11/17/2020,"12,326.03","12,461.65","12,183.72","12,434.97"
11/16/2020,"12,208.21","12,416.08","12,170.43","12,394.02"
11/13/2020,"11,885.46","12,113.23","11,885.46","12,085.32"
11/12/2020,"11,966.05","11,992.11","11,742.21","11,838.75"
11/11/2020,"12,111.69","12,154.83","11,927.16","12,006.71"
11/10/2020,"11,902.59","12,136.19","11,779.08","12,096.55"
11/09/2020,"11,998.93","12,379.03","11,825.82","11,900.46"
11/06/2020,"11,654.06","11,718.50","11,579.50","11,614.65"
11/05/2020,"11,468.20","11,753.46","11,468.20","11,669.58"
11/04/2020,"11,589.03","11,719.11","11,386.76","11,391.91"
11/03/2020,"11,315.62","11,617.34","11,315.62","11,559.96"
11/02/2020,"11,182.15","11,281.82","11,091.21","11,216.42"
10/30/2020,"11,126.21","11,207.27","10,971.32","11,106.19"
10/29/2020,"10,940.55","11,292.00","10,922.00","11,183.52"
10/28/2020,"11,319.93","11,319.93","10,937.95","10,945.62"
10/27/2020,"11,613.67","11,629.03","11,420.41","11,431.61"
10/26/2020,"11,811.66","11,811.66","11,477.66","11,604.82"
10/23/2020,"11,770.86","11,891.21","11,750.29","11,880.13"
