Date,Open,High,Low,Close
12/31/2020,"850.39","865.30","849.10","864.64"
12/30/2020,"847.96","854.52","847.96","850.59"
12/29/2020,"852.41","855.90","846.47","848.89"
12/28/2020,"847.35","856.18","846.44","849.55"
12/24/2020,"841.69","846.25","837.47","845.97"
12/23/2020,"846.80","853.07","840.09","840.18"
12/22/2020,"844.23","846.25","840.22","842.22"
12/21/2020,"852.20","852.20","836.37","844.96"
12/18/2020,"866.92","870.24","853.89","857.26"
12/17/2020,"862.04","871.94","862.04","866.78"
12/16/2020,"873.46","877.09","859.46","859.59"
12/15/2020,"855.90","873.43","854.11","871.54"
12/14/2020,"859.07","869.36","852.68","852.81"
12/11/2020,"851.23","856.70","850.63","855.10"
12/10/2020,"858.25","858.99","849.30","854.06"
12/09/2020,"858.77","860.39","852.33","856.76"
12/08/2020,"857.04","863.63","851.75","858.36"
12/07/2020,"854.37","863.40","853.61","859.85"
12/04/2020,"866.78","869.31","851.23","856.13"
12/03/2020,"871.41","874.83","864.14","866.89"
12/02/2020,"867.55","874.76","860.52","874.66"
12/01/2020,"867.50","879.18","867.35","868.25"
11/30/2020,"871.93","872.52","858.60","861.74"
11/27/2020,"880.02","880.14","869.61","873.18"
11/25/2020,"882.73","883.54","871.68","880.98"
11/24/2020,"879.12","886.55","876.51","882.62"
11/23/2020,"875.15","877.86","869.46","873.01"
11/20/2020,"872.24","878.79","868.56","873.29"
11/19/2020,"879.55","880.47","866.46","872.94"
11/18/2020,"904.65","905.17","881.15","881.37"
11/17/2020,"912.05","914.75","898.43","899.01"
11/16/2020,"919.82","920.84","908.36","917.38"
11/13/2020,"905.96","913.12","905.09","910.91"
11/12/2020,"912.92","912.92","895.84","902.10"
11/11/2020,"919.74","923.96","913.75","917.19"
11/10/2020,"901.76","918.64","899.33","916.18"
11/09/2020,"899.78","931.30","897.77","898.85"
11/06/2020,"886.82","893.59","881.05","881.76"
11/05/2020,"886.36","901.64","881.81","885.44"
11/04/2020,"888.07","900.93","877.38","877.69"
11/03/2020,"885.82","899.45","885.33","889.78"
11/02/2020,"865.28","877.34","861.29","876.56"
10/30/2020,"863.81","867.72","850.12","857.77"
10/29/2020,"861.05","878.13","852.64","867.65"
10/28/2020,"883.39","890.83","864.10","865.33"
10/27/2020,"892.45","900.68","887.57","890.68"
10/26/2020,"888.92","894.04","881.02","891.98"
10/23/2020,"894.41","896.51","889.30","893.68"
10/22/2020,"879.22","892.49","878.26","891.28"
10/21/2020,"878.96","883.64","874.99","877.10"
10/20/2020,"881.29","887.11","878.42","881.15"
10/19/2020,"884.96","889.53","875.12","877.60"
10/16/2020,"876.70","887.82","875.37","884.52"
10/15/2020,"866.58","880.45","864.07","875.22"
10/14/2020,"876.95","881.22","870.11","875.19"
10/13/2020,"876.06","878.27","867.25","876.05"
10/12/2020,"875.97","888.62","874.18","882.82"
10/09/2020,"879.99","880.25","869.68","875.81"
10/08/2020,"862.78","876.98","862.34","875.30"
10/07/2020,"855.97","862.56","852.18","859.99"
10/06/2020,"845.56","860.22","840.40","850.89"
10/05/2020,"835.22","847.02","830.88","844.57"
10/02/2020,"816.83","836.74","815.69","832.49"
10/01/2020,"816.99","825.72","816.25","824.27"
09/30/2020,"812.48","818.18","806.66","814.70"
09/29/2020,"812.48","817.04","805.28","808.99"
09/28/2020,"812.50","818.62","808.92","810.20"
09/25/2020,"791.18","808.94","789.61","808.13"
09/24/2020,"784.42","801.44","780.27","795.93"
09/23/2020,"800.73","800.73","784.80","785.16"
09/22/2020,"794.54","803.69","793.59","799.37"
09/21/2020,"794.46","796.31","783.63","793.72"
09/18/2020,"809.89","812.01","796.26","797.95"
09/17/2020,"808.72","813.43","802.14","810.81"
09/16/2020,"811.54","819.91","810.39","814.51"
09/15/2020,"813.86","830.43","813.85","818.68"
09/14/2020,"804.28","815.14","802.85","810.94"
09/11/2020,"797.88","802.17","792.76","799.93"
09/10/2020,"807.04","807.77","796.05","796.34"
09/09/2020,"805.05","819.26","804.40","809.51"
09/08/2020,"803.46","804.94","791.63","798.63"
09/04/2020,"811.34","814.41","793.09","803.70"
09/03/2020,"819.82","826.89","800.66","808.12"
09/02/2020,"794.72","822.39","792.34","818.68"
09/01/2020,"800.85","801.50","791.13","794.08"
08/31/2020,"801.13","808.97","799.80","803.22"
08/28/2020,"801.00","802.19","794.45","800.73"
08/27/2020,"800.11","806.86","796.03","800.69"
08/26/2020,"806.22","806.32","797.34","798.89"
08/25/2020,"819.61","819.61","807.66","810.80"
08/24/2020,"810.88","817.84","805.68","817.71"
08/21/2020,"812.29","812.38","803.01","809.61"
08/20/2020,"813.08","818.04","808.54","810.59"
08/19/2020,"822.52","823.59","815.91","817.16"
08/18/2020,"823.02","826.56","816.34","820.37"
08/17/2020,"825.52","830.90","820.66","823.96"
08/14/2020,"830.79","832.33","822.82","824.87"
08/13/2020,"831.82","836.98","828.80","834.39"
08/12/2020,"826.35","841.49","825.59","836.74"
08/11/2020,"841.65","843.05","819.39","821.99"
08/10/2020,"845.81","848.71","838.24","841.03"
08/07/2020,"825.83","846.43","825.64","843.23"
08/06/2020,"823.24","830.67","820.45","828.87"
08/05/2020,"833.61","835.73","821.40","825.37"
08/04/2020,"821.01","835.59","820.80","832.49"
08/03/2020,"828.71","829.20","817.75","822.34"
07/31/2020,"824.96","832.06","818.60","830.77"
07/30/2020,"822.92","828.24","818.87","828.13"
07/29/2020,"826.12","831.11","823.52","828.96"
07/28/2020,"811.05","832.35","810.75","825.47"
07/27/2020,"825.44","825.78","808.10","813.02"
07/24/2020,"833.13","841.34","821.17","825.74"
07/23/2020,"830.04","837.08","826.15","830.70"
07/22/2020,"815.19","833.20","808.58","829.50"
07/21/2020,"817.65","829.94","816.86","820.47"
07/20/2020,"825.95","828.20","816.05","817.04"
07/17/2020,"813.77","830.53","812.89","828.60"
07/16/2020,"797.46","811.53","795.03","809.52"
07/15/2020,"806.87","813.11","795.28","796.47"
07/14/2020,"791.47","804.44","791.19","799.91"
07/13/2020,"791.47","799.02","787.83","791.24"
07/10/2020,"774.18","793.17","773.96","791.35"
07/09/2020,"778.94","779.35","763.11","774.23"
07/08/2020,"773.98","785.53","773.74","783.15"
07/07/2020,"771.67","778.57","768.37","775.59"
07/06/2020,"788.93","794.55","773.27","779.03"
07/02/2020,"789.68","795.66","784.79","786.89"
07/01/2020,"768.61","788.48","766.94","785.15"
06/30/2020,"764.93","771.22","759.17","767.50"
06/29/2020,"754.56","764.55","746.62","764.39"
06/26/2020,"756.59","765.41","745.40","749.40"
06/25/2020,"765.24","765.24","748.23","757.34"
06/24/2020,"766.91","772.07","759.00","767.60"
06/23/2020,"786.59","788.56","770.92","773.47"
06/22/2020,"771.58","785.06","766.97","780.42"
06/19/2020,"805.65","808.47","770.61","770.61"
