Date,Open,High,Low,Close
12/31/2020,"2,203.07","2,203.07","2,203.07","2,203.07"
12/30/2020,"2,181.17","2,181.17","2,181.17","2,181.17"
12/29/2020,"2,143.16","2,143.16","2,143.16","2,143.16"
12/28/2020,"2,140.69","2,140.69","2,140.69","2,140.69"
12/25/2020,"2,138.39","2,138.39","2,138.39","2,138.39"
12/24/2020,"2,138.39","2,138.39","2,138.39","2,138.39"
12/23/2020,"2,132.03","2,132.03","2,132.03","2,132.03"
12/22/2020,"2,084.67","2,084.67","2,084.67","2,084.67"
12/21/2020,"2,099.73","2,099.73","2,099.73","2,099.73"
12/18/2020,"2,119.60","2,119.60","2,119.60","2,119.60"
12/17/2020,"2,134.90","2,134.90","2,134.90","2,134.90"
12/16/2020,"2,134.68","2,134.68","2,134.68","2,134.68"
12/15/2020,"2,140.12","2,140.12","2,140.12","2,140.12"
12/14/2020,"2,094.54","2,094.54","2,094.54","2,094.54"
12/11/2020,"2,126.58","2,126.58","2,126.58","2,126.58"
12/10/2020,"2,184.67","2,184.67","2,184.67","2,184.67"
12/09/2020,"2,166.46","2,166.46","2,166.46","2,166.46"
12/08/2020,"2,197.20","2,197.20","2,197.20","2,197.20"
12/07/2020,"2,200.96","2,200.96","2,200.96","2,200.96"
12/04/2020,"2,235.52","2,235.52","2,235.52","2,235.52"
12/03/2020,"2,184.72","2,184.72","2,184.72","2,184.72"
12/02/2020,"2,138.11","2,138.11","2,138.11","2,138.11"
12/01/2020,"2,124.59","2,124.59","2,124.59","2,124.59"
11/30/2020,"2,098.65","2,098.65","2,098.65","2,098.65"
11/27/2020,"2,127.06","2,127.06","2,127.06","2,127.06"
11/26/2020,"2,146.55","2,146.55","2,146.55","2,146.55"
11/25/2020,"2,146.55","2,146.55","2,146.55","2,146.55"
11/24/2020,"2,183.50","2,183.50","2,183.50","2,183.50"
11/23/2020,"2,085.77","2,085.77","2,085.77","2,085.77"
11/20/2020,"2,024.78","2,024.78","2,024.78","2,024.78"
11/19/2020,"2,050.69","2,050.69","2,050.69","2,050.69"
11/18/2020,"2,041.57","2,041.57","2,041.57","2,041.57"
11/17/2020,"2,061.29","2,061.29","2,061.29","2,061.29"
11/16/2020,"2,094.26","2,094.26","2,094.26","2,094.26"
11/13/2020,"2,062.10","2,062.10","2,062.10","2,062.10"
11/12/2020,"1,982.62","1,982.62","1,982.62","1,982.62"
11/11/2020,"2,003.61","2,003.61","2,003.61","2,003.61"
11/10/2020,"2,025.00","2,025.00","2,025.00","2,025.00"
11/09/2020,"2,034.95","2,034.95","2,034.95","2,034.95"
11/06/2020,"1,811.84","1,811.84","1,811.84","1,811.84"
11/05/2020,"1,799.75","1,799.75","1,799.75","1,799.75"
11/04/2020,"1,757.14","1,757.14","1,757.14","1,757.14"
11/03/2020,"1,724.27","1,724.27","1,724.27","1,724.27"
11/02/2020,"1,673.03","1,673.03","1,673.03","1,673.03"
10/30/2020,"1,666.97","1,666.97","1,666.97","1,666.97"
10/29/2020,"1,662.65","1,662.65","1,662.65","1,662.65"
10/28/2020,"1,616.15","1,616.15","1,616.15","1,616.15"
10/27/2020,"1,680.90","1,680.90","1,680.90","1,680.90"
10/26/2020,"1,726.97","1,726.97","1,726.97","1,726.97"
10/23/2020,"1,808.31","1,808.31","1,808.31","1,808.31"
10/22/2020,"1,794.56","1,794.56","1,794.56","1,794.56"
10/21/2020,"1,697.72","1,697.72","1,697.72","1,697.72"
10/20/2020,"1,706.33","1,706.33","1,706.33","1,706.33"
10/19/2020,"1,672.62","1,672.62","1,672.62","1,672.62"
10/16/2020,"1,718.25","1,718.25","1,718.25","1,718.25"
10/15/2020,"1,708.19","1,708.19","1,708.19","1,708.19"
10/14/2020,"1,706.35","1,706.35","1,706.35","1,706.35"
10/13/2020,"1,721.24","1,721.24","1,721.24","1,721.24"
10/12/2020,"1,765.91","1,765.91","1,765.91","1,765.91"
10/09/2020,"1,757.32","1,757.32","1,757.32","1,757.32"
10/08/2020,"1,771.35","1,771.35","1,771.35","1,771.35"
