Date,Open,High,Low,Close
12/31/2020,"8,071.73","8,127.19","8,029.16","8,106.25"
12/30/2020,"7,999.81","8,088.13","7,999.60","8,067.05"
12/29/2020,"8,052.36","8,072.88","7,922.16","7,970.23"
12/28/2020,"8,115.41","8,141.76","7,999.88","7,999.88"
12/24/2020,"7,983.16","8,034.91","7,956.73","8,028.48"
12/23/2020,"8,020.58","8,080.38","7,985.07","7,986.49"
12/22/2020,"8,008.03","8,020.81","7,958.13","7,973.30"
12/21/2020,"7,905.93","8,027.55","7,838.90","8,007.90"
12/18/2020,"8,055.82","8,084.65","7,976.26","8,067.33"
12/17/2020,"7,986.80","8,033.80","7,968.71","8,024.10"
12/16/2020,"7,961.81","7,975.55","7,886.52","7,913.39"
12/15/2020,"7,868.59","7,968.31","7,844.10","7,950.51"
12/14/2020,"7,937.97","7,970.27","7,799.10","7,800.21"
12/11/2020,"7,861.91","7,928.93","7,817.01","7,884.08"
12/10/2020,"7,937.89","7,983.19","7,895.44","7,928.64"
12/09/2020,"7,968.72","8,010.95","7,898.69","7,979.78"
12/08/2020,"7,832.77","7,941.05","7,821.40","7,928.06"
12/07/2020,"7,966.07","7,966.07","7,842.75","7,865.20"
12/04/2020,"7,778.05","7,961.37","7,777.00","7,960.93"
12/03/2020,"7,837.75","7,874.51","7,746.70","7,764.59"
12/02/2020,"7,889.98","7,924.93","7,808.14","7,821.97"
12/01/2020,"7,980.88","8,001.77","7,889.70","7,931.62"
11/30/2020,"7,962.46","7,962.66","7,826.60","7,858.10"
11/27/2020,"7,959.04","7,987.15","7,922.10","7,955.61"
11/25/2020,"8,007.65","8,007.65","7,903.58","7,915.49"
11/24/2020,"7,877.73","8,063.42","7,877.73","8,038.67"
11/23/2020,"7,749.59","7,854.86","7,749.59","7,816.43"
11/20/2020,"7,680.71","7,719.38","7,655.48","7,691.80"
11/19/2020,"7,635.05","7,703.01","7,573.85","7,695.60"
11/18/2020,"7,728.51","7,770.47","7,658.91","7,659.71"
11/17/2020,"7,668.43","7,711.63","7,579.87","7,703.71"
11/16/2020,"7,689.16","7,739.70","7,646.19","7,730.50"
11/13/2020,"7,485.90","7,611.51","7,485.90","7,590.42"
11/12/2020,"7,584.14","7,590.30","7,400.73","7,451.14"
11/11/2020,"7,821.43","7,821.43","7,579.15","7,634.00"
11/10/2020,"7,764.93","7,849.79","7,740.94","7,798.49"
11/09/2020,"7,701.71","8,035.02","7,701.71","7,714.24"
11/06/2020,"7,457.52","7,501.54","7,410.66","7,428.42"
11/05/2020,"7,252.37","7,470.41","7,249.27","7,416.18"
11/04/2020,"7,158.67","7,210.42","7,015.46","7,081.21"
11/03/2020,"7,170.67","7,214.07","7,111.64","7,176.26"
11/02/2020,"6,948.75","7,117.64","6,934.49","7,089.66"
10/30/2020,"6,857.50","6,894.69","6,752.19","6,844.85"
10/29/2020,"6,717.31","6,935.80","6,693.49","6,884.96"
10/28/2020,"6,783.72","6,854.03","6,740.11","6,746.94"
10/27/2020,"7,068.49","7,095.36","6,955.34","6,959.06"
10/26/2020,"7,193.78","7,193.78","7,026.48","7,088.01"
10/23/2020,"7,319.56","7,342.02","7,249.36","7,275.04"
10/22/2020,"7,209.63","7,255.32","7,124.43","7,245.04"
10/21/2020,"7,235.61","7,316.02","7,191.85","7,192.64"
10/20/2020,"7,244.55","7,321.73","7,234.87","7,250.88"
10/19/2020,"7,319.43","7,359.18","7,192.26","7,204.09"
10/16/2020,"7,285.58","7,337.64","7,271.69","7,299.92"
10/15/2020,"7,200.97","7,260.18","7,145.20","7,253.38"
10/14/2020,"7,247.02","7,320.47","7,236.79","7,270.85"
10/13/2020,"7,286.45","7,314.07","7,224.31","7,242.76"
10/12/2020,"7,369.89","7,374.06","7,312.19","7,318.80"
10/09/2020,"7,334.18","7,376.35","7,298.63","7,335.05"
10/08/2020,"7,261.78","7,319.18","7,244.68","7,284.50"
10/07/2020,"7,120.21","7,239.65","7,119.97","7,220.68"
10/06/2020,"7,141.37","7,224.34","7,030.96","7,038.21"
10/05/2020,"7,016.67","7,136.37","7,008.12","7,098.18"
10/02/2020,"6,784.24","7,012.02","6,782.35","6,954.06"
10/01/2020,"6,988.43","7,045.47","6,853.45","6,875.18"
09/30/2020,"6,934.37","7,042.85","6,925.25","6,978.13"
09/29/2020,"6,973.80","7,009.36","6,891.14","6,915.78"
09/28/2020,"6,925.73","7,041.45","6,925.73","6,967.83"
09/25/2020,"6,778.62","6,869.84","6,731.43","6,843.38"
09/24/2020,"6,789.92","6,880.88","6,722.62","6,822.24"
09/23/2020,"6,956.31","6,981.32","6,789.96","6,793.84"
09/22/2020,"6,977.93","6,996.61","6,924.40","6,983.11"
09/21/2020,"7,103.61","7,103.61","6,895.95","6,977.37"
09/18/2020,"7,364.66","7,386.46","7,218.60","7,243.38"
09/17/2020,"7,226.70","7,388.53","7,192.52","7,375.54"
09/16/2020,"7,322.29","7,389.79","7,300.50","7,300.50"
09/15/2020,"7,332.10","7,370.22","7,322.38","7,323.43"
09/14/2020,"7,263.39","7,335.96","7,243.90","7,302.19"
09/11/2020,"7,184.34","7,257.01","7,154.44","7,222.57"
09/10/2020,"7,235.26","7,269.31","7,122.86","7,130.46"
09/09/2020,"7,095.10","7,259.87","7,095.10","7,209.64"
09/08/2020,"7,112.85","7,112.85","6,994.84","7,028.55"
09/04/2020,"7,217.20","7,260.63","7,091.59","7,190.88"
09/03/2020,"7,386.54","7,394.62","7,095.95","7,176.54"
09/02/2020,"7,245.42","7,413.37","7,242.84","7,406.30"
09/01/2020,"6,999.74","7,237.24","6,977.15","7,237.24"
08/31/2020,"7,135.20","7,151.29","7,019.93","7,021.12"
08/28/2020,"7,097.78","7,163.86","7,070.54","7,157.44"
08/27/2020,"7,137.52","7,145.12","7,073.82","7,094.12"
08/26/2020,"7,047.71","7,142.49","7,031.28","7,111.73"
08/25/2020,"7,109.89","7,149.06","7,034.03","7,054.89"
08/24/2020,"7,003.25","7,076.42","6,981.01","7,075.37"
08/21/2020,"6,895.01","6,928.36","6,876.78","6,914.45"
08/20/2020,"6,912.80","6,960.11","6,905.44","6,949.12"
08/19/2020,"7,024.20","7,047.76","6,971.32","6,988.39"
08/18/2020,"7,044.09","7,073.61","6,995.25","7,005.97"
08/17/2020,"7,085.43","7,116.14","7,006.07","7,031.42"
08/14/2020,"7,016.36","7,082.87","6,993.59","7,054.59"
08/13/2020,"7,013.90","7,073.98","7,011.19","7,045.76"
08/12/2020,"7,079.57","7,115.62","7,031.58","7,059.17"
08/11/2020,"7,070.75","7,124.59","6,998.49","7,009.59"
08/10/2020,"6,874.24","6,965.53","6,874.24","6,963.28"
08/07/2020,"6,810.64","6,885.03","6,782.77","6,884.52"
08/06/2020,"6,874.51","6,883.64","6,813.65","6,839.02"
08/05/2020,"6,830.75","6,955.56","6,830.75","6,895.79"
08/04/2020,"6,678.99","6,797.06","6,656.64","6,768.04"
08/03/2020,"6,787.25","6,787.25","6,704.15","6,704.30"
07/31/2020,"6,777.85","6,789.06","6,657.76","6,749.61"
07/30/2020,"6,807.26","6,807.26","6,683.66","6,754.05"
07/29/2020,"6,833.39","6,919.23","6,833.39","6,905.21"
