Date,Open,High,Low,Close
12/31/2020,"10,042.82","10,096.07","9,959.82","10,078.81"
12/30/2020,"9,977.10","10,094.22","9,977.10","10,050.31"
12/29/2020,"10,080.89","10,101.13","9,877.79","9,946.29"
12/28/2020,"10,152.23","10,159.11","10,040.80","10,042.28"
12/24/2020,"10,038.95","10,075.72","10,010.89","10,069.90"
12/23/2020,"10,047.26","10,062.91","9,989.57","10,013.34"
12/22/2020,"10,007.65","10,035.36","9,956.60","10,004.27"
12/21/2020,"9,833.81","10,034.65","9,819.42","9,995.68"
12/18/2020,"9,967.44","10,010.37","9,910.00","9,982.49"
12/17/2020,"9,877.31","9,950.18","9,877.26","9,945.51"
12/16/2020,"9,906.28","9,920.13","9,786.29","9,820.93"
12/15/2020,"9,761.39","9,865.11","9,725.37","9,863.38"
12/14/2020,"9,866.06","9,873.17","9,687.89","9,688.09"
12/11/2020,"9,754.46","9,821.91","9,723.02","9,784.81"
12/10/2020,"9,802.95","9,857.68","9,723.71","9,792.70"
12/09/2020,"9,864.62","9,923.33","9,794.45","9,864.59"
12/08/2020,"9,752.51","9,854.10","9,750.48","9,828.71"
12/07/2020,"9,774.97","9,804.16","9,730.95","9,780.64"
12/04/2020,"9,772.18","9,815.83","9,742.36","9,778.96"
12/03/2020,"9,693.74","9,795.79","9,680.19","9,718.85"
12/02/2020,"9,805.61","9,817.08","9,669.33","9,689.89"
12/01/2020,"9,933.26","9,948.35","9,839.03","9,849.92"
11/30/2020,"9,824.73","9,843.77","9,741.41","9,821.87"
11/27/2020,"9,893.19","9,926.05","9,826.32","9,849.39"
11/25/2020,"9,950.44","9,950.44","9,840.20","9,869.09"
11/24/2020,"9,957.22","10,031.63","9,883.90","9,971.78"
11/23/2020,"9,820.53","9,897.50","9,798.52","9,874.55"
11/20/2020,"9,783.49","9,800.68","9,689.23","9,737.35"
11/19/2020,"9,741.22","9,836.01","9,669.44","9,825.42"
11/18/2020,"9,825.60","9,857.58","9,763.44","9,763.44"
11/17/2020,"9,791.19","9,837.36","9,671.55","9,793.01"
11/16/2020,"9,762.90","9,868.81","9,679.19","9,851.57"
11/13/2020,"9,565.03","9,706.70","9,562.56","9,648.81"
11/12/2020,"9,532.42","9,548.31","9,402.80","9,474.14"
11/11/2020,"9,605.73","9,627.27","9,472.89","9,584.19"
11/10/2020,"9,481.14","9,626.54","9,460.47","9,562.34"
11/09/2020,"9,842.28","10,093.88","9,412.45","9,412.70"
11/06/2020,"9,538.54","9,592.54","9,503.16","9,559.64"
11/05/2020,"9,410.87","9,613.77","9,410.87","9,523.56"
11/04/2020,"9,374.77","9,456.72","9,123.33","9,309.43"
11/03/2020,"9,386.35","9,497.34","9,348.89","9,454.81"
11/02/2020,"9,096.97","9,293.23","9,096.33","9,293.23"
10/30/2020,"8,994.17","9,073.24","8,858.60","8,972.42"
10/29/2020,"8,829.28","9,082.88","8,829.28","9,015.29"
10/28/2020,"8,820.48","8,937.60","8,779.95","8,833.02"
10/27/2020,"9,033.82","9,046.31","8,940.22","8,946.59"
10/26/2020,"9,148.60","9,148.60","8,940.23","9,018.46"
10/23/2020,"9,265.60","9,278.35","9,180.72","9,263.01"
10/22/2020,"9,170.54","9,230.61","9,119.01","9,209.04"
10/21/2020,"9,204.71","9,287.66","9,153.59","9,154.47"
10/20/2020,"9,223.20","9,330.58","9,192.39","9,204.89"
10/19/2020,"9,317.05","9,337.82","9,114.19","9,147.16"
10/16/2020,"9,310.84","9,357.35","9,290.05","9,292.12"
10/15/2020,"9,126.10","9,286.50","9,119.98","9,270.20"
10/14/2020,"9,269.62","9,306.02","9,205.51","9,233.63"
10/13/2020,"9,338.50","9,354.85","9,207.88","9,231.92"
10/12/2020,"9,346.73","9,408.95","9,319.94","9,385.61"
10/09/2020,"9,306.55","9,345.89","9,268.20","9,294.77"
10/08/2020,"9,239.88","9,287.20","9,196.41","9,269.47"
10/07/2020,"9,104.23","9,207.47","9,104.23","9,169.81"
10/06/2020,"9,114.73","9,215.50","8,983.33","8,991.17"
10/05/2020,"8,956.85","9,090.03","8,954.03","9,059.00"
10/02/2020,"8,638.03","8,929.04","8,632.61","8,865.90"
10/01/2020,"8,817.03","8,878.59","8,723.42","8,774.43"
09/30/2020,"8,759.49","8,852.57","8,690.45","8,745.01"
09/29/2020,"8,770.56","8,798.41","8,706.58","8,734.15"
09/28/2020,"8,671.12","8,807.57","8,670.44","8,769.23"
09/25/2020,"8,414.78","8,590.16","8,408.45","8,556.37"
09/24/2020,"8,399.48","8,563.50","8,336.89","8,479.70"
09/23/2020,"8,594.87","8,649.59","8,398.41","8,400.17"
09/22/2020,"8,475.13","8,617.96","8,469.61","8,599.92"
09/21/2020,"8,586.57","8,586.57","8,363.01","8,453.93"
09/18/2020,"8,864.59","8,893.72","8,698.08","8,734.30"
09/17/2020,"8,721.36","8,865.15","8,676.20","8,843.53"
09/16/2020,"8,797.83","8,920.87","8,744.13","8,837.85"
09/15/2020,"8,775.08","8,824.65","8,739.62","8,750.70"
09/14/2020,"8,641.47","8,741.95","8,627.79","8,726.15"
09/11/2020,"8,549.50","8,656.09","8,520.25","8,576.30"
09/10/2020,"8,594.68","8,610.21","8,495.95","8,511.55"
09/09/2020,"8,518.87","8,613.79","8,490.83","8,567.75"
09/08/2020,"8,465.73","8,528.88","8,372.69","8,415.68"
09/04/2020,"8,628.16","8,654.40","8,425.61","8,571.62"
09/03/2020,"8,851.28","8,860.36","8,497.71","8,547.28"
09/02/2020,"8,757.10","8,890.49","8,700.01","8,870.73"
09/01/2020,"8,579.10","8,759.42","8,544.03","8,759.24"
08/31/2020,"8,694.44","8,705.86","8,604.88","8,605.09"
08/28/2020,"8,680.85","8,711.69","8,647.26","8,709.73"
08/27/2020,"8,738.61","8,740.85","8,635.27","8,651.64"
08/26/2020,"8,652.61","8,706.50","8,624.53","8,688.45"
08/25/2020,"8,719.75","8,721.98","8,597.43","8,656.56"
08/24/2020,"8,669.95","8,696.59","8,630.29","8,675.98"
08/21/2020,"8,528.71","8,606.56","8,513.59","8,604.27"
08/20/2020,"8,522.49","8,595.12","8,508.74","8,538.94"
08/19/2020,"8,641.56","8,669.86","8,588.33","8,597.32"
08/18/2020,"8,707.26","8,726.22","8,621.91","8,630.54"
08/17/2020,"8,662.51","8,720.65","8,633.61","8,693.52"
08/14/2020,"8,610.38","8,675.13","8,599.61","8,638.30"
08/13/2020,"8,644.72","8,715.50","8,617.43","8,649.58"
08/12/2020,"8,678.26","8,748.28","8,645.74","8,693.07"
08/11/2020,"8,661.95","8,726.97","8,589.66","8,601.20"
08/10/2020,"8,500.28","8,570.02","8,492.10","8,558.84"
08/07/2020,"8,347.99","8,482.73","8,347.99","8,480.49"
08/06/2020,"8,338.22","8,377.54","8,324.43","8,350.45"
08/05/2020,"8,289.97","8,373.25","8,289.97","8,349.42"
08/04/2020,"8,176.79","8,240.79","8,144.62","8,235.95"
08/03/2020,"8,122.72","8,226.01","8,089.52","8,192.57"
07/31/2020,"8,093.72","8,123.81","7,954.97","8,081.51"
07/30/2020,"8,009.14","8,094.53","7,983.31","8,064.22"
07/29/2020,"7,919.33","8,150.56","7,919.33","8,125.44"
07/28/2020,"8,037.01","8,047.67","7,881.22","7,885.22"
07/27/2020,"7,922.02","8,037.94","7,895.66","8,032.16"
07/24/2020,"7,964.92","7,965.87","7,896.19","7,913.62"
07/23/2020,"7,960.69","8,057.98","7,926.43","7,974.25"
07/22/2020,"7,856.65","7,990.56","7,856.65","7,961.41"
07/21/2020,"7,866.96","7,910.37","7,849.17","7,884.12"
07/20/2020,"7,792.15","7,846.29","7,784.00","7,810.53"
07/17/2020,"7,804.48","7,858.60","7,768.87","7,839.02"
07/16/2020,"7,697.01","7,807.46","7,675.04","7,781.27"
07/15/2020,"7,609.01","7,758.44","7,608.79","7,722.95"
07/14/2020,"7,268.38","7,487.61","7,245.86","7,486.12"
07/13/2020,"7,379.67","7,452.36","7,268.79","7,271.49"
07/10/2020,"7,235.43","7,322.76","7,199.83","7,318.61"
07/09/2020,"7,354.08","7,367.78","7,171.66","7,224.94"
07/08/2020,"7,353.84","7,403.49","7,285.50","7,356.42"
07/07/2020,"7,377.54","7,420.09","7,332.49","7,348.95"
07/06/2020,"7,452.37","7,488.25","7,397.53","7,448.06"
07/02/2020,"7,353.68","7,443.70","7,298.80","7,328.62"
07/01/2020,"7,338.54","7,359.12","7,208.11","7,232.51"
06/30/2020,"7,197.75","7,339.63","7,185.60","7,310.53"
06/29/2020,"7,091.36","7,239.61","7,047.74","7,220.08"
06/26/2020,"7,083.14","7,094.60","6,970.74","7,011.65"
06/25/2020,"7,008.82","7,121.10","6,954.56","7,117.00"
06/24/2020,"7,228.36","7,253.92","7,042.01","7,059.61"
06/23/2020,"7,411.09","7,411.09","7,296.19","7,307.17"
06/22/2020,"7,239.83","7,316.21","7,151.03","7,307.24"
06/19/2020,"7,394.15","7,394.15","7,182.79","7,244.88"
06/18/2020,"7,252.14","7,359.71","7,236.00","7,271.01"
06/17/2020,"7,416.37","7,423.20","7,292.39","7,306.76"
