Date,Open,High,Low,Close
12/31/2020,"18,450.96","18,612.07","18,375.13","18,598.99"
12/30/2020,"18,329.37","18,527.83","18,326.10","18,462.04"
12/29/2020,"18,501.57","18,519.98","18,114.43","18,254.46"
12/28/2020,"18,653.25","18,669.71","18,417.93","18,421.56"
12/24/2020,"18,490.62","18,510.88","18,380.50","18,495.48"
12/23/2020,"18,433.11","18,524.17","18,371.90","18,442.31"
12/22/2020,"18,453.59","18,467.55","18,281.22","18,354.48"
12/21/2020,"18,152.50","18,533.64","18,112.41","18,470.26"
12/18/2020,"18,482.71","18,566.40","18,322.05","18,496.13"
12/17/2020,"18,407.58","18,459.69","18,317.82","18,447.05"
12/16/2020,"18,488.73","18,493.15","18,273.51","18,338.38"
12/15/2020,"18,218.99","18,547.90","18,210.43","18,489.84"
12/14/2020,"18,437.18","18,471.12","18,042.34","18,046.23"
12/11/2020,"18,104.22","18,300.60","18,073.36","18,264.25"
12/10/2020,"18,312.58","18,335.02","18,116.67","18,229.43"
12/09/2020,"18,358.51","18,451.04","18,292.47","18,419.89"
12/08/2020,"18,104.72","18,339.45","18,103.02","18,302.85"
12/07/2020,"18,291.70","18,295.47","18,067.45","18,175.67"
12/04/2020,"18,094.01","18,392.42","18,076.96","18,345.32"
12/03/2020,"18,075.67","18,197.58","17,946.26","17,981.10"
12/02/2020,"18,093.31","18,165.21","18,001.88","18,065.02"
12/01/2020,"18,371.88","18,449.34","18,138.64","18,138.81"
11/30/2020,"18,275.51","18,279.26","18,068.04","18,174.99"
11/27/2020,"18,388.13","18,494.65","18,316.72","18,391.34"
11/25/2020,"18,569.05","18,569.05","18,276.15","18,344.49"
11/24/2020,"18,506.37","18,694.51","18,415.61","18,631.03"
11/23/2020,"18,148.69","18,330.73","18,147.67","18,292.85"
11/20/2020,"18,002.39","18,087.68","17,928.74","17,998.79"
11/19/2020,"17,957.56","18,070.06","17,812.97","18,048.94"
11/18/2020,"18,115.87","18,259.57","18,014.04","18,014.48"
11/17/2020,"18,016.88","18,087.68","17,791.18","18,035.81"
11/16/2020,"18,075.66","18,214.33","17,879.84","18,163.37"
11/13/2020,"17,650.20","17,854.45","17,647.07","17,810.19"
11/12/2020,"17,627.52","17,686.08","17,378.16","17,516.58"
11/11/2020,"17,988.49","17,988.49","17,583.03","17,729.36"
11/10/2020,"17,686.24","18,015.05","17,648.13","17,920.31"
11/09/2020,"17,852.41","18,410.71","17,617.43","17,627.65"
11/06/2020,"17,103.98","17,207.32","16,999.86","17,047.74"
11/05/2020,"16,658.22","17,193.23","16,658.22","17,071.51"
11/04/2020,"16,759.59","16,801.13","16,379.29","16,397.46"
11/03/2020,"16,751.14","17,113.18","16,704.32","17,017.00"
11/02/2020,"16,193.22","16,533.69","16,182.38","16,525.02"
10/30/2020,"15,903.13","16,018.04","15,753.92","15,993.26"
10/29/2020,"15,703.51","16,074.35","15,641.20","15,965.80"
10/28/2020,"15,940.33","16,038.80","15,737.98","15,745.84"
10/27/2020,"16,535.40","16,596.18","16,259.59","16,259.88"
10/26/2020,"16,839.48","16,839.48","16,419.63","16,594.93"
10/23/2020,"17,040.90","17,100.92","16,908.61","17,041.78"
10/22/2020,"16,837.27","16,932.40","16,779.45","16,916.56"
