Date,Open,High,Low,Close
12/31/2020,"1,520.41","1,521.45","1,493.37","1,505.43"
12/30/2020,"1,496.94","1,519.41","1,494.17","1,519.17"
12/29/2020,"1,503.04","1,511.21","1,486.89","1,493.01"
12/28/2020,"1,532.39","1,545.98","1,495.38","1,496.32"
12/24/2020,"1,491.81","1,512.08","1,487.02","1,509.93"
12/23/2020,"1,492.77","1,508.42","1,491.41","1,495.59"
12/22/2020,"1,519.67","1,525.45","1,480.76","1,485.71"
12/21/2020,"1,515.56","1,531.30","1,505.98","1,519.54"
12/18/2020,"1,550.98","1,551.22","1,513.07","1,513.89"
12/17/2020,"1,535.57","1,566.66","1,535.57","1,553.53"
12/16/2020,"1,482.92","1,510.57","1,476.63","1,508.25"
12/15/2020,"1,457.20","1,478.24","1,450.23","1,472.14"
12/14/2020,"1,461.18","1,474.91","1,430.73","1,430.99"
12/11/2020,"1,463.86","1,482.83","1,456.07","1,460.79"
12/10/2020,"1,479.27","1,495.48","1,465.35","1,469.11"
12/09/2020,"1,509.12","1,512.85","1,471.23","1,480.18"
12/08/2020,"1,521.11","1,526.15","1,504.65","1,518.21"
12/07/2020,"1,473.65","1,530.21","1,471.59","1,514.84"
12/04/2020,"1,467.39","1,479.20","1,458.68","1,469.68"
12/03/2020,"1,485.56","1,493.18","1,461.14","1,468.44"
12/02/2020,"1,479.61","1,491.82","1,469.12","1,480.26"
12/01/2020,"1,474.06","1,484.34","1,442.77","1,481.46"
11/30/2020,"1,428.00","1,448.24","1,412.82","1,443.85"
11/27/2020,"1,408.07","1,443.25","1,403.93","1,440.62"
11/25/2020,"1,418.39","1,434.33","1,416.58","1,427.30"
11/24/2020,"1,404.88","1,423.10","1,396.92","1,403.30"
11/23/2020,"1,486.04","1,492.36","1,438.96","1,440.52"
11/20/2020,"1,510.10","1,517.73","1,488.95","1,499.97"
11/19/2020,"1,480.82","1,495.69","1,471.91","1,494.49"
11/18/2020,"1,566.29","1,566.29","1,499.33","1,500.24"
11/17/2020,"1,588.41","1,598.60","1,567.20","1,569.05"
11/16/2020,"1,586.61","1,608.93","1,578.30","1,599.44"
11/13/2020,"1,596.85","1,600.33","1,584.72","1,592.85"
11/12/2020,"1,587.92","1,595.87","1,568.50","1,572.52"
11/11/2020,"1,556.73","1,582.39","1,540.92","1,582.35"
11/10/2020,"1,592.41","1,599.30","1,559.89","1,573.78"
11/09/2020,"1,564.72","1,609.74","1,542.12","1,597.62"
11/06/2020,"1,655.23","1,660.62","1,638.34","1,654.77"
11/05/2020,"1,615.38","1,650.55","1,613.46","1,641.11"
11/04/2020,"1,607.80","1,614.33","1,570.33","1,573.26"
11/03/2020,"1,583.32","1,621.89","1,580.50","1,610.77"
11/02/2020,"1,538.24","1,572.71","1,521.93","1,569.43"
10/30/2020,"1,491.86","1,525.09","1,477.02","1,523.27"
10/29/2020,"1,441.27","1,496.64","1,432.21","1,475.88"
10/28/2020,"1,485.72","1,485.72","1,433.55","1,442.16"
10/27/2020,"1,499.51","1,522.20","1,489.12","1,519.15"
10/26/2020,"1,487.02","1,510.88","1,483.29","1,492.09"
10/23/2020,"1,499.74","1,510.22","1,492.26","1,501.04"
10/22/2020,"1,500.46","1,508.99","1,482.86","1,502.74"
10/21/2020,"1,524.32","1,544.96","1,515.42","1,520.42"
10/20/2020,"1,525.97","1,530.36","1,504.49","1,513.02"
10/19/2020,"1,556.44","1,561.54","1,514.65","1,517.63"
10/16/2020,"1,560.19","1,564.34","1,544.05","1,544.74"
10/15/2020,"1,553.10","1,568.64","1,544.66","1,556.67"
10/14/2020,"1,566.54","1,587.48","1,557.12","1,577.41"
10/13/2020,"1,543.87","1,554.81","1,523.00","1,551.59"
10/12/2020,"1,554.12","1,570.39","1,545.98","1,557.97"
10/09/2020,"1,549.99","1,554.43","1,526.72","1,554.22"
10/08/2020,"1,515.40","1,532.97","1,510.17","1,522.97"
10/07/2020,"1,513.63","1,523.78","1,501.15","1,507.64"
10/06/2020,"1,556.80","1,568.75","1,497.87","1,497.87"
10/05/2020,"1,536.15","1,572.70","1,534.67","1,553.16"
10/02/2020,"1,534.17","1,554.97","1,524.32","1,530.81"
10/01/2020,"1,562.74","1,567.83","1,540.32","1,544.10"
09/30/2020,"1,530.84","1,562.06","1,519.78","1,552.90"
09/29/2020,"1,538.92","1,558.93","1,534.96","1,539.97"
09/28/2020,"1,525.37","1,543.76","1,509.57","1,528.18"
09/25/2020,"1,497.65","1,516.69","1,489.54","1,509.73"
09/24/2020,"1,463.24","1,532.14","1,462.50","1,514.02"
09/23/2020,"1,546.45","1,550.72","1,472.74","1,480.20"
09/22/2020,"1,568.51","1,583.05","1,544.50","1,566.04"
09/21/2020,"1,562.63","1,588.82","1,544.95","1,567.09"
09/18/2020,"1,644.23","1,651.28","1,600.31","1,602.27"
09/17/2020,"1,624.66","1,645.07","1,609.82","1,638.79"
09/16/2020,"1,673.72","1,682.75","1,655.71","1,657.21"
09/15/2020,"1,673.30","1,685.02","1,649.80","1,662.11"
