Date,Open,High,Low,Close
12/31/2020,"6,013.21","6,021.41","5,961.04","5,984.29"
12/30/2020,"6,018.63","6,051.88","5,985.36","6,011.18"
12/29/2020,"6,152.47","6,173.39","5,973.33","6,007.39"
12/28/2020,"6,129.57","6,155.31","6,084.59","6,124.78"
12/24/2020,"6,098.56","6,106.35","6,059.03","6,082.80"
12/23/2020,"6,081.02","6,138.68","6,059.96","6,072.19"
12/22/2020,"6,101.12","6,107.47","6,018.20","6,074.80"
12/21/2020,"5,945.94","6,076.89","5,922.56","6,061.85"
12/18/2020,"6,085.04","6,097.51","6,014.14","6,052.88"
12/17/2020,"5,983.02","6,052.10","5,963.38","6,050.60"
12/16/2020,"5,953.91","5,986.47","5,930.57","5,956.07"
12/15/2020,"5,840.60","5,943.09","5,814.44","5,942.53"
12/14/2020,"5,822.70","5,882.72","5,785.75","5,807.94"
12/11/2020,"5,775.79","5,837.41","5,758.46","5,794.51"
12/10/2020,"5,728.66","5,821.52","5,702.30","5,808.43"
12/09/2020,"5,849.73","5,857.50","5,762.10","5,778.48"
12/08/2020,"5,796.38","5,861.76","5,794.38","5,826.99"
12/07/2020,"5,822.60","5,829.31","5,760.58","5,818.97"
12/04/2020,"5,683.40","5,820.50","5,677.81","5,817.00"
12/03/2020,"5,564.90","5,686.41","5,550.33","5,664.96"
12/02/2020,"5,610.26","5,629.38","5,547.59","5,570.70"
12/01/2020,"5,691.86","5,718.26","5,606.63","5,617.47"
11/30/2020,"5,582.86","5,641.34","5,534.43","5,625.22"
11/27/2020,"5,577.16","5,605.54","5,546.07","5,582.66"
11/25/2020,"5,556.64","5,581.75","5,523.01","5,575.35"
11/24/2020,"5,579.50","5,611.89","5,545.68","5,555.86"
11/23/2020,"5,537.94","5,546.21","5,445.87","5,522.66"
11/20/2020,"5,446.84","5,481.12","5,405.42","5,445.31"
11/19/2020,"5,416.20","5,457.13","5,348.38","5,456.68"
11/18/2020,"5,574.80","5,574.80","5,412.96","5,415.94"
11/17/2020,"5,515.98","5,607.01","5,451.48","5,577.30"
11/16/2020,"5,539.04","5,573.96","5,498.11","5,558.49"
11/13/2020,"5,360.11","5,466.22","5,357.48","5,455.54"
11/12/2020,"5,296.52","5,379.92","5,257.98","5,322.60"
11/11/2020,"5,386.16","5,395.92","5,323.78","5,357.03"
11/10/2020,"5,430.69","5,444.51","5,317.90","5,336.51"
11/09/2020,"5,356.40","5,673.10","5,356.40","5,432.76"
11/06/2020,"5,275.68","5,295.16","5,188.03","5,208.13"
11/05/2020,"5,276.55","5,307.24","5,238.76","5,283.72"
11/04/2020,"5,139.69","5,292.93","5,114.65","5,198.63"
11/03/2020,"5,096.60","5,133.72","5,056.75","5,115.76"
11/02/2020,"4,939.52","5,071.72","4,930.68","5,039.01"
10/30/2020,"4,915.19","4,942.54","4,807.69","4,865.12"
10/29/2020,"4,609.59","4,963.01","4,606.99","4,943.40"
10/28/2020,"4,607.40","4,637.32","4,546.57","4,592.07"
10/27/2020,"4,775.81","4,800.05","4,730.66","4,736.47"
10/26/2020,"4,779.34","4,786.92","4,722.77","4,778.69"
10/23/2020,"4,838.85","4,857.65","4,793.64","4,813.87"
10/22/2020,"4,810.03","4,830.99","4,765.95","4,822.91"
10/21/2020,"4,890.37","4,911.86","4,809.61","4,822.99"
10/20/2020,"4,945.60","4,961.96","4,903.10","4,904.78"
10/19/2020,"5,020.16","5,031.35","4,895.80","4,901.96"
10/16/2020,"5,089.82","5,090.41","4,997.94","5,001.12"
10/15/2020,"5,020.70","5,104.06","5,008.03","5,076.71"
10/14/2020,"5,125.48","5,156.33","5,079.81","5,088.73"
10/13/2020,"5,149.55","5,166.01","5,118.84","5,119.28"
10/12/2020,"5,156.48","5,175.99","5,099.41","5,164.14"
10/09/2020,"5,155.47","5,175.39","5,118.45","5,120.56"
10/08/2020,"5,089.69","5,121.62","5,078.43","5,116.06"
10/07/2020,"5,050.67","5,080.23","5,024.44","5,063.78"
10/06/2020,"5,020.09","5,086.40","4,976.89","4,999.08"
10/05/2020,"4,969.42","5,006.67","4,952.83","4,997.62"
10/02/2020,"4,816.07","4,929.05","4,810.60","4,923.15"
10/01/2020,"4,847.24","4,915.92","4,828.79","4,910.71"
09/30/2020,"4,839.82","4,906.08","4,769.13","4,799.14"
09/29/2020,"4,832.58","4,852.40","4,788.01","4,818.99"
09/28/2020,"4,807.26","4,858.01","4,789.71","4,839.24"
09/25/2020,"4,613.67","4,758.77","4,608.72","4,732.09"
09/24/2020,"4,585.58","4,712.45","4,560.18","4,640.79"
09/23/2020,"4,744.78","4,762.11","4,596.27","4,605.23"
09/22/2020,"4,735.87","4,773.01","4,678.10","4,725.40"
09/21/2020,"4,726.49","4,726.72","4,612.08","4,700.80"
09/18/2020,"4,904.25","4,909.48","4,771.28","4,818.22"
09/17/2020,"4,890.68","4,917.34","4,840.10","4,896.43"
09/16/2020,"4,976.28","5,017.05","4,938.52","4,952.53"
09/15/2020,"4,872.69","4,969.76","4,868.66","4,953.46"
09/14/2020,"4,717.17","4,854.67","4,712.37","4,835.87"
09/11/2020,"4,755.80","4,755.80","4,615.75","4,667.57"
09/10/2020,"4,800.88","4,841.47","4,689.59","4,720.64"
09/09/2020,"4,720.84","4,793.81","4,693.13","4,771.37"
09/08/2020,"4,730.01","4,759.24","4,663.70","4,683.07"
09/04/2020,"4,910.88","4,916.30","4,701.88","4,803.47"
09/03/2020,"5,003.14","5,016.12","4,848.51","4,879.34"
09/02/2020,"4,960.22","5,029.63","4,934.64","5,021.64"
09/01/2020,"4,855.67","4,961.41","4,835.98","4,958.67"
08/31/2020,"4,978.76","4,978.76","4,837.57","4,852.09"
08/28/2020,"4,880.73","4,905.33","4,861.59","4,899.46"
08/27/2020,"4,842.16","4,900.25","4,828.79","4,846.60"
08/26/2020,"4,870.30","4,887.61","4,814.08","4,817.48"
08/25/2020,"4,860.56","4,866.18","4,801.97","4,864.62"
08/24/2020,"4,748.65","4,844.08","4,726.67","4,837.79"
08/21/2020,"4,696.15","4,722.86","4,686.24","4,716.05"
08/20/2020,"4,641.13","4,730.69","4,635.74","4,703.45"
08/19/2020,"4,676.20","4,714.00","4,647.48","4,675.93"
08/18/2020,"4,716.66","4,734.48","4,668.63","4,672.29"
08/17/2020,"4,735.40","4,742.89","4,695.85","4,704.25"
08/14/2020,"4,706.01","4,741.62","4,695.81","4,724.10"
08/13/2020,"4,757.33","4,784.28","4,735.54","4,749.52"
08/12/2020,"4,728.35","4,808.94","4,725.72","4,753.92"
