Date,Open,High,Low,Close
12/31/2020,"367.63","367.63","367.63","367.63"
12/30/2020,"363.87","363.87","363.87","363.87"
12/29/2020,"357.49","357.49","357.49","357.49"
12/28/2020,"351.65","351.65","351.65","351.65"
12/24/2020,"352.90","352.90","352.90","352.90"
12/23/2020,"351.57","351.57","351.57","351.57"
12/22/2020,"347.20","347.20","347.20","347.20"
12/21/2020,"345.44","345.44","345.44","345.44"
12/18/2020,"343.37","343.37","343.37","343.37"
12/17/2020,"341.94","341.94","341.94","341.94"
12/16/2020,"337.21","337.21","337.21","337.21"
12/15/2020,"336.25","336.25","336.25","336.25"
12/14/2020,"334.48","334.48","334.48","334.48"
12/11/2020,"336.69","336.69","336.69","336.69"
12/10/2020,"333.28","333.28","333.28","333.28"
12/09/2020,"331.93","331.93","331.93","331.93"
12/08/2020,"326.84","326.84","326.84","326.84"
12/07/2020,"330.10","330.10","330.10","330.10"
12/04/2020,"328.79","328.79","328.79","328.79"
12/03/2020,"332.48","332.48","332.48","332.48"
12/02/2020,"331.28","331.28","331.28","331.28"
12/01/2020,"329.33","329.33","329.33","329.33"
11/30/2020,"332.79","332.79","332.79","332.79"
11/27/2020,"340.26","340.26","340.26","340.26"
11/25/2020,"335.36","335.36","335.36","335.36"
11/24/2020,"340.91","340.91","340.91","340.91"
11/23/2020,"339.80","339.80","339.80","339.80"
11/20/2020,"337.30","337.30","337.30","337.30"
11/19/2020,"336.87","336.87","336.87","336.87"
11/18/2020,"338.91","338.91","338.91","338.91"
11/17/2020,"336.07","336.07","336.07","336.07"
11/16/2020,"335.05","335.05","335.05","335.05"
11/13/2020,"330.63","330.63","330.63","330.63"
11/12/2020,"329.36","329.36","329.36","329.36"
11/11/2020,"331.51","331.51","331.51","331.51"
11/10/2020,"332.98","332.98","332.98","332.98"
11/09/2020,"325.38","325.38","325.38","325.38"
11/06/2020,"323.91","323.91","323.91","323.91"
11/05/2020,"324.39","324.39","324.39","324.39"
11/04/2020,"321.89","321.89","321.89","321.89"
11/03/2020,"319.86","319.86","319.86","319.86"
11/02/2020,"317.98","317.98","317.98","317.98"
10/30/2020,"315.96","315.96","315.96","315.96"
10/29/2020,"316.69","316.69","316.69","316.69"
10/28/2020,"319.55","319.55","319.55","319.55"
10/27/2020,"326.11","326.11","326.11","326.11"
10/26/2020,"327.49","327.49","327.49","327.49"
10/23/2020,"329.33","329.33","329.33","329.33"
10/22/2020,"327.05","327.05","327.05","327.05"
10/21/2020,"326.31","326.31","326.31","326.31"
10/20/2020,"325.02","325.02","325.02","325.02"
10/19/2020,"323.39","323.39","323.39","323.39"
10/16/2020,"320.96","320.96","320.96","320.96"
10/15/2020,"320.78","320.78","320.78","320.78"
10/14/2020,"315.59","315.59","315.59","315.59"
10/13/2020,"312.85","312.85","312.85","312.85"
10/12/2020,"311.20","311.20","311.20","311.20"
10/09/2020,"315.47","315.47","315.47","315.47"
10/08/2020,"312.22","312.22","312.22","312.22"
10/07/2020,"314.61","314.61","314.61","314.61"
10/06/2020,"310.23","310.23","310.23","310.23"
10/05/2020,"305.36","305.36","305.36","305.36"
10/02/2020,"303.58","303.58","303.58","303.58"
10/01/2020,"303.93","303.93","303.93","303.93"
09/30/2020,"304.38","304.38","304.38","304.38"
09/29/2020,"294.24","294.24","294.24","294.24"
09/28/2020,"294.62","294.62","294.62","294.62"
09/25/2020,"295.18","295.18","295.18","295.18"
09/24/2020,"294.91","294.91","294.91","294.91"
09/23/2020,"296.66","296.66","296.66","296.66"
09/22/2020,"298.67","298.67","298.67","298.67"
09/21/2020,"298.05","298.05","298.05","298.05"
09/18/2020,"305.15","305.15","305.15","305.15"
09/17/2020,"300.85","300.85","300.85","300.85"
09/16/2020,"296.60","296.60","296.60","296.60"
09/15/2020,"293.35","293.35","293.35","293.35"
09/14/2020,"295.06","295.06","295.06","295.06"
09/11/2020,"294.51","294.51","294.51","294.51"
09/10/2020,"292.89","292.89","292.89","292.89"
09/09/2020,"290.77","290.77","290.77","290.77"
09/08/2020,"290.77","290.77","290.77","290.77"
09/04/2020,"290.46","290.46","290.46","290.46"
09/03/2020,"289.70","289.70","289.70","289.70"
09/02/2020,"292.44","292.44","292.44","292.44"
09/01/2020,"293.18","293.18","293.18","293.18"
08/31/2020,"291.09","291.09","291.09","291.09"
08/28/2020,"290.20","290.20","290.20","290.20"
08/27/2020,"289.49","289.49","289.49","289.49"
08/26/2020,"285.19","285.19","285.19","285.19"
08/25/2020,"284.80","284.80","284.80","284.80"
08/24/2020,"280.05","280.05","280.05","280.05"
08/21/2020,"279.83","279.83","279.83","279.83"
08/20/2020,"279.05","279.05","279.05","279.05"
08/19/2020,"279.34","279.34","279.34","279.34"
08/18/2020,"278.07","278.07","278.07","278.07"
08/17/2020,"280.13","280.13","280.13","280.13"
08/14/2020,"275.11","275.11","275.11","275.11"
08/13/2020,"275.36","275.36","275.36","275.36"
08/12/2020,"268.46","268.46","268.46","268.46"
08/11/2020,"266.56","266.56","266.56","266.56"
08/10/2020,"264.57","264.57","264.57","264.57"
08/07/2020,"263.77","263.77","263.77","263.77"
08/06/2020,"266.43","266.43","266.43","266.43"
08/05/2020,"267.29","267.29","267.29","267.29"
08/04/2020,"266.63","266.63","266.63","266.63"
08/03/2020,"270.90","270.90","270.90","270.90"
07/31/2020,"271.34","271.34","271.34","271.34"
07/30/2020,"269.16","269.16","269.16","269.16"
07/29/2020,"268.39","268.39","268.39","268.39"
07/28/2020,"267.66","267.66","267.66","267.66"
07/27/2020,"270.47","270.47","270.47","270.47"
07/24/2020,"270.32","270.32","270.32","270.32"
07/23/2020,"270.35","270.35","270.35","270.35"
07/22/2020,"271.32","271.32","271.32","271.32"
07/21/2020,"267.98","267.98","267.98","267.98"
07/20/2020,"268.69","268.69","268.69","268.69"
07/17/2020,"271.31","271.31","271.31","271.31"
07/16/2020,"270.36","270.36","270.36","270.36"
07/15/2020,"270.79","270.79","270.79","270.79"
07/14/2020,"266.29","266.29","266.29","266.29"
07/13/2020,"267.87","267.87","267.87","267.87"
07/10/2020,"272.35","272.35","272.35","272.35"
07/09/2020,"275.12","275.12","275.12","275.12"
07/08/2020,"274.03","274.03","274.03","274.03"
07/07/2020,"270.78","270.78","270.78","270.78"
07/06/2020,"270.64","270.64","270.64","270.64"
07/02/2020,"270.28","270.28","270.28","270.28"
07/01/2020,"272.99","272.99","272.99","272.99"
06/30/2020,"267.68","267.68","267.68","267.68"
06/29/2020,"262.00","262.00","262.00","262.00"
06/26/2020,"257.62","257.62","257.62","257.62"
06/25/2020,"261.03","261.03","261.03","261.03"
06/24/2020,"262.15","262.15","262.15","262.15"
06/23/2020,"263.83","263.83","263.83","263.83"
06/22/2020,"265.10","265.10","265.10","265.10"
06/19/2020,"265.52","265.52","265.52","265.52"
06/18/2020,"264.96","264.96","264.96","264.96"
06/17/2020,"266.31","266.31","266.31","266.31"
06/16/2020,"266.53","266.53","266.53","266.53"
06/15/2020,"267.30","267.30","267.30","267.30"
06/12/2020,"267.91","267.91","267.91","267.91"
06/11/2020,"267.85","267.85","267.85","267.85"
06/10/2020,"268.82","268.82","268.82","268.82"
06/09/2020,"267.91","267.91","267.91","267.91"
06/08/2020,"269.36","269.36","269.36","269.36"
06/05/2020,"269.18","269.18","269.18","269.18"
06/04/2020,"268.25","268.25","268.25","268.25"
06/03/2020,"264.57","264.57","264.57","264.57"
06/02/2020,"262.44","262.44","262.44","262.44"
06/01/2020,"262.58","262.58","262.58","262.58"
05/29/2020,"262.83","262.83","262.83","262.83"
05/28/2020,"262.66","262.66","262.66","262.66"
05/27/2020,"259.97","259.97","259.97","259.97"
05/26/2020,"260.44","260.44","260.44","260.44"
05/22/2020,"258.80","258.80","258.80","258.80"
05/21/2020,"260.33","260.33","260.33","260.33"
05/20/2020,"261.94","261.94","261.94","261.94"
05/19/2020,"259.76","259.76","259.76","259.76"
05/18/2020,"259.31","259.31","259.31","259.31"
05/15/2020,"258.29","258.29","258.29","258.29"
05/14/2020,"258.05","258.05","258.05","258.05"
05/13/2020,"257.81","257.81","257.81","257.81"
05/12/2020,"261.92","261.92","261.92","261.92"
05/11/2020,"261.54","261.54","261.54","261.54"
05/08/2020,"262.36","262.36","262.36","262.36"
05/07/2020,"261.14","261.14","261.14","261.14"
05/06/2020,"258.70","258.70","258.70","258.70"
05/05/2020,"261.29","261.29","261.29","261.29"
05/04/2020,"259.81","259.81","259.81","259.81"
05/01/2020,"262.44","262.44","262.44","262.44"
04/30/2020,"263.39","263.39","263.39","263.39"
04/29/2020,"258.42","258.42","258.42","258.42"
04/28/2020,"257.69","257.69","257.69","257.69"
04/27/2020,"257.19","257.19","257.19","257.19"
04/24/2020,"261.56","261.56","261.56","261.56"
04/23/2020,"266.07","266.07","266.07","266.07"
04/22/2020,"265.55","265.55","265.55","265.55"
04/21/2020,"263.19","263.19","263.19","263.19"
04/20/2020,"265.40","265.40","265.40","265.40"
04/17/2020,"265.65","265.65","265.65","265.65"
04/16/2020,"263.99","263.99","263.99","263.99"
