Date,Open,High,Low,Close
12/31/2020,"1,116.52","1,133.15","1,133.15","1,133.15"
12/30/2020,"1,121.36","1,116.76","1,116.76","1,116.76"
12/29/2020,"1,119.16","1,121.48","1,121.48","1,121.48"
12/28/2020,"1,107.53","1,119.03","1,119.03","1,119.03"
12/24/2020,"1,104.54","1,107.34","1,107.34","1,107.34"
12/23/2020,"1,091.43","1,104.57","1,104.57","1,104.57"
12/22/2020,"1,098.36","1,091.33","1,091.33","1,091.33"
12/21/2020,"1,107.94","1,099.04","1,099.04","1,099.04"
12/18/2020,"1,118.92","1,108.32","1,108.32","1,108.32"
12/17/2020,"1,110.68","1,118.83","1,118.83","1,118.83"
12/16/2020,"1,115.16","1,110.63","1,110.63","1,110.63"
12/15/2020,"1,104.74","1,115.22","1,115.22","1,115.22"
12/14/2020,"1,113.87","1,104.67","1,104.67","1,104.67"
12/11/2020,"1,126.96","1,113.66","1,113.66","1,113.66"
12/10/2020,"1,142.00","1,127.09","1,127.09","1,127.09"
12/09/2020,"1,150.31","1,141.93","1,141.93","1,141.93"
12/08/2020,"1,143.32","1,150.38","1,150.38","1,150.38"
12/07/2020,"1,153.56","1,143.41","1,143.41","1,143.41"
12/04/2020,"1,137.59","1,153.56","1,153.56","1,153.56"
12/03/2020,"1,133.04","1,139.48","1,139.48","1,139.48"
12/02/2020,"1,114.90","1,132.69","1,132.69","1,132.69"
12/01/2020,"1,106.80","1,114.91","1,114.91","1,114.91"
11/30/2020,"1,114.11","1,106.63","1,106.63","1,106.63"
11/27/2020,"1,101.66","1,114.19","1,114.19","1,114.19"
11/25/2020,"1,113.49","1,101.58","1,101.58","1,101.58"
11/24/2020,"1,102.26","1,113.45","1,113.45","1,113.45"
11/23/2020,"1,095.72","1,102.12","1,102.12","1,102.12"
11/20/2020,"1,100.98","1,095.54","1,095.54","1,095.54"
11/19/2020,"1,124.20","1,102.04","1,102.04","1,102.04"
11/18/2020,"1,144.75","1,124.65","1,124.65","1,124.65"
11/17/2020,"1,169.78","1,144.59","1,144.59","1,144.59"
11/16/2020,"1,164.51","1,170.00","1,170.00","1,170.00"
11/13/2020,"1,153.30","1,164.33","1,164.33","1,164.33"
11/12/2020,"1,149.22","1,153.46","1,153.46","1,153.46"
11/11/2020,"1,161.65","1,149.27","1,149.27","1,149.27"
11/10/2020,"1,136.69","1,161.73","1,161.73","1,161.73"
11/09/2020,"1,116.44","1,136.54","1,136.54","1,136.54"
11/06/2020,"1,128.96","1,115.93","1,115.93","1,115.93"
11/05/2020,"1,120.84","1,128.96","1,128.96","1,128.96"
11/04/2020,"1,046.49","1,120.77","1,120.77","1,120.77"
11/03/2020,"1,012.14","1,046.41","1,046.41","1,046.41"
11/02/2020,"984.54","1,011.83","1,011.83","1,011.83"
10/30/2020,"977.03","982.70","982.70","982.70"
10/29/2020,"997.01","976.70","976.70","976.70"
10/28/2020,"1,036.06","997.09","997.09","997.09"
10/27/2020,"1,049.52","1,036.98","1,036.98","1,036.98"
10/26/2020,"1,071.49","1,049.48","1,049.48","1,049.48"
10/23/2020,"1,056.21","1,071.63","1,071.63","1,071.63"
10/22/2020,"1,042.86","1,056.17","1,056.17","1,056.17"
10/21/2020,"1,039.55","1,042.74","1,042.74","1,042.74"
10/20/2020,"1,038.29","1,040.49","1,040.49","1,040.49"
10/19/2020,"1,055.00","1,038.16","1,038.16","1,038.16"
10/16/2020,"1,045.17","1,055.00","1,055.00","1,055.00"
10/15/2020,"1,032.24","1,045.07","1,045.07","1,045.07"
10/14/2020,"1,048.10","1,032.92","1,032.92","1,032.92"
10/13/2020,"1,047.43","1,048.11","1,048.11","1,048.11"
10/12/2020,"1,043.79","1,047.54","1,047.54","1,047.54"
10/09/2020,"1,038.86","1,043.77","1,043.77","1,043.77"
10/08/2020,"1,033.02","1,038.77","1,038.77","1,038.77"
10/07/2020,"1,008.08","1,032.89","1,032.89","1,032.89"
10/06/2020,"1,018.27","1,008.02","1,008.02","1,008.02"
10/05/2020,"994.50","1,018.13","1,018.13","1,018.13"
10/02/2020,"991.76","994.47","994.47","994.47"
10/01/2020,"994.20","992.86","992.86","992.86"
09/30/2020,"969.57","994.18","994.18","994.18"
09/29/2020,"969.57","969.76","969.76","969.76"
09/28/2020,"964.92","969.72","969.72","969.72"
09/25/2020,"939.90","964.44","964.44","964.44"
09/24/2020,"939.17","940.03","940.03","940.03"
09/23/2020,"950.11","939.41","939.41","939.41"
09/22/2020,"967.91","950.12","950.12","950.12"
09/21/2020,"993.86","967.90","967.90","967.90"
09/18/2020,"988.99","994.04","994.04","994.04"
09/17/2020,"990.55","989.03","989.03","989.03"
09/16/2020,"984.94","990.83","990.83","990.83"
09/15/2020,"992.84","984.83","984.83","984.83"
09/14/2020,"974.09","992.76","992.76","992.76"
09/11/2020,"980.01","974.01","974.01","974.01"
09/10/2020,"1,000.49","981.37","981.37","981.37"
09/09/2020,"991.43","1,000.36","1,000.36","1,000.36"
09/08/2020,"1,011.49","991.28","991.28","991.28"
09/04/2020,"1,019.81","1,011.59","1,011.59","1,011.59"
09/03/2020,"1,033.51","1,019.82","1,019.82","1,019.82"
09/02/2020,"1,009.47","1,033.39","1,033.39","1,033.39"
09/01/2020,"1,015.64","1,009.49","1,009.49","1,009.49"
