"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"2019, (in producers' prices)" 
"Bureau of Economic Analysis" 
""
"","Industries/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE"
"","Industry Description","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises"
"111CA","Farms",1.2676416,0.0259414,0.0013219,0.0024100,0.0011227,0.0009367,0.0029671,0.0172002,0.0025215,0.0019902,0.0015455,0.0015203,0.0002686,0.0013790,0.0024943,0.0009473,0.0050975,0.0046157,0.3466987,0.0559315,0.0189770,0.0121346,0.0061716,0.0016359,0.0208695,0.0085833,0.0013146,0.0035957,0.0036288,0.0017269,0.0015617,0.0033796,0.0013468,0.0056130,0.0012244,0.0009738,0.0005909,0.0021503,0.0010511,0.0007178,0.0011796,0.0009434,0.0012253,0.0007486,0.0008657,0.0007091,0.0008186,0.0002512,0.0021190,0.0007676,0.0007231,0.0006071,0.0027142,0.0010013,0.0031921,0.0014456,0.0073924,0.0018928,0.0042965,0.0100512,0.0147776,0.0023334,0.0177733,0.0092190,0.0241288,0.0022316,0.0023100,-0.0005735,0.0036124,0.0110955,0.0014191
"113FF","Forestry, fishing, and related activities",0.0730512,1.1197167,0.0004943,0.0019834,0.0005840,0.0004638,0.0038049,0.1268350,0.0016745,0.0017305,0.0011671,0.0013851,0.0003073,0.0013976,0.0024764,0.0007666,0.0132712,0.0036696,0.0312376,0.0047749,0.0105317,0.0429370,0.0047878,0.0005933,0.0029208,0.0102631,0.0008455,0.0007512,0.0049987,0.0005586,0.0008240,0.0007869,0.0042587,0.0010021,0.0006875,0.0010192,0.0003570,0.0013722,0.0009644,0.0005365,0.0005788,0.0006698,0.0009771,0.0003744,0.0004248,0.0003477,0.0003852,0.0002139,0.0016428,0.0005577,0.0003688,0.0002536,0.0008673,0.0004744,0.0008705,0.0007268,0.0012409,0.0006873,0.0009499,0.0015759,0.0025154,0.0005023,0.0033235,0.0037048,0.0065295,0.0009711,0.0005585,0.0002069,0.0010784,0.0029832,0.0010831
"211","Oil and gas extraction",0.0240685,0.0068878,1.1091041,0.0318469,0.0125528,0.0780886,0.0201558,0.0138591,0.0127518,0.0174841,0.0092258,0.0087737,0.0012497,0.0113430,0.0091662,0.0043571,0.0103053,0.0085758,0.0152407,0.0163331,0.0064484,0.0162001,0.0191463,0.5733856,0.0276978,0.0193486,0.0061946,0.0076815,0.0087786,0.0056074,0.0069161,0.0475866,0.0528971,0.0292242,0.0363104,0.0181084,0.0041679,0.0409446,0.0121269,0.0029486,0.0041242,0.0038556,0.0047266,0.0064934,0.0072031,0.0027994,0.0073036,0.0012966,0.0153120,0.0056605,0.0026994,0.0022307,0.0044379,0.0054315,0.0072840,0.0157195,0.0053652,0.0048343,0.0064630,0.0071227,0.0071042,0.0037745,0.0085903,0.0085519,0.0081869,0.0061285,0.0193434,0.0022875,0.0286588,0.0266999,0.0831670
"212","Mining, except oil and gas",0.0091341,0.0009700,0.0046415,1.0629547,0.0025787,0.0205993,0.0162506,0.0035241,0.0722741,0.0641559,0.0158596,0.0092083,0.0009347,0.0114922,0.0111974,0.0048982,0.0062756,0.0065556,0.0060994,0.0063614,0.0020321,0.0094417,0.0031797,0.0079604,0.0098530,0.0066911,0.0011719,0.0016402,0.0020449,0.0014218,0.0016701,0.0013856,0.0049609,0.0023689,0.0018379,0.0013344,0.0013780,0.0020421,0.0034717,0.0007115,0.0011750,0.0018023,0.0022619,0.0007021,0.0008910,0.0007123,0.0009298,0.0006810,0.0040426,0.0009460,0.0006374,0.0004609,0.0018175,0.0012577,0.0017068,0.0027576,0.0022387,0.0013754,0.0016028,0.0017522,0.0020124,0.0029121,0.0045083,0.0020887,0.0023429,0.0024265,0.0015563,0.0018586,0.0015069,0.0026789,0.0207492
"213","Support activities for mining",0.0012801,0.0003340,0.0483409,0.0215850,1.0095797,0.0038244,0.0013989,0.0007984,0.0021094,0.0021600,0.0010813,0.0008664,0.0001046,0.0009988,0.0009934,0.0004730,0.0007500,0.0006421,0.0008868,0.0009238,0.0003765,0.0010492,0.0009857,0.0251182,0.0014749,0.0011225,0.0003143,0.0003946,0.0004441,0.0002886,0.0003606,0.0021146,0.0024480,0.0014846,0.0016528,0.0008477,0.0003009,0.0018607,0.0006392,0.0001655,0.0002183,0.0002703,0.0002846,0.0003074,0.0003456,0.0001463,0.0003513,0.0000784,0.0007869,0.0002867,0.0001393,0.0001215,0.0002835,0.0002863,0.0003795,0.0008437,0.0002963,0.0002537,0.0003346,0.0003647,0.0003948,0.0002331,0.0004883,0.0004453,0.0004344,0.0003540,0.0009203,0.0001518,0.0013207,0.0012405,0.0041154
"22","Utilities",0.0290605,0.0050549,0.0286616,0.0411327,0.0063059,1.0592604,0.0129367,0.0225208,0.0290178,0.0363036,0.0227031,0.0159887,0.0036752,0.0154008,0.0192187,0.0094824,0.0185031,0.0139381,0.0246251,0.0326986,0.0140786,0.0372407,0.0237064,0.0287085,0.0265612,0.0318122,0.0164778,0.0272000,0.0485329,0.0317371,0.0291579,0.0074682,0.0092880,0.0140047,0.0158031,0.0097308,0.0154142,0.0113584,0.0855380,0.0060426,0.0101095,0.0107218,0.0103835,0.0082347,0.0092818,0.0102075,0.0135299,0.0016420,0.0811252,0.0095463,0.0084726,0.0033755,0.0100248,0.0216851,0.0102314,0.0122022,0.0218224,0.0105104,0.0168756,0.0217924,0.0163593,0.0113055,0.0213963,0.0357823,0.0332972,0.0135655,0.0072574,0.0050470,0.0151106,0.0148266,0.0151983
"23","Construction",0.0162846,0.0025605,0.0104618,0.0276691,0.0116453,0.0243911,1.0055024,0.0074695,0.0095429,0.0112612,0.0077600,0.0058867,0.0011458,0.0053734,0.0067162,0.0033894,0.0069246,0.0051054,0.0101894,0.0090877,0.0049373,0.0115287,0.0084321,0.0219032,0.0075105,0.0091947,0.0079585,0.0115015,0.0143733,0.0107274,0.0141584,0.0069444,0.0315571,0.0086986,0.0096168,0.0123109,0.0192548,0.0132834,0.0221621,0.0027653,0.0059012,0.0074096,0.0052553,0.0074969,0.0081567,0.0084384,0.0080688,0.0350744,0.0713402,0.0052585,0.0063665,0.0019860,0.0064648,0.0081366,0.0054641,0.0057489,0.0089459,0.0059069,0.0078679,0.0119960,0.0115033,0.0072325,0.0104411,0.0108650,0.0125281,0.0106420,0.0172672,0.0064386,0.0126496,0.0193776,0.1478825
"321","Wood products",0.0047457,0.0013724,0.0016635,0.0046035,0.0025077,0.0018927,0.0306779,1.2118677,0.0064321,0.0067755,0.0038265,0.0058073,0.0019134,0.0054762,0.0116166,0.0029880,0.1082096,0.0111653,0.0053524,0.0042957,0.0022182,0.0436062,0.0052568,0.0019829,0.0028365,0.0126520,0.0037371,0.0026121,0.0059098,0.0021244,0.0037303,0.0010660,0.0380791,0.0019527,0.0025487,0.0020172,0.0013363,0.0028484,0.0050443,0.0011816,0.0022220,0.0030082,0.0057180,0.0011650,0.0013005,0.0013939,0.0011978,0.0014474,0.0106663,0.0021380,0.0012001,0.0006053,0.0018930,0.0014522,0.0023195,0.0019494,0.0017407,0.0017359,0.0021926,0.0023157,0.0078411,0.0013484,0.0029571,0.0040259,0.0034656,0.0025725,0.0015802,0.0008644,0.0029587,0.0039310,0.0064364
"327","Nonmetallic mineral products",0.0035220,0.0010098,0.0086438,0.0092723,0.0073849,0.0031092,0.0443279,0.0125132,1.1194096,0.0161959,0.0089457,0.0107483,0.0009799,0.0177752,0.0217118,0.0041606,0.0097700,0.0079082,0.0100184,0.0090157,0.0036083,0.0070396,0.0028459,0.0092071,0.0058505,0.0126456,0.0016248,0.0033485,0.0023447,0.0016335,0.0028457,0.0017306,0.0038164,0.0025659,0.0024376,0.0018720,0.0017960,0.0026320,0.0046457,0.0008712,0.0012851,0.0055737,0.0044688,0.0011280,0.0013300,0.0010195,0.0012469,0.0017311,0.0049703,0.0021502,0.0008948,0.0008424,0.0042046,0.0014618,0.0028143,0.0043851,0.0015268,0.0034762,0.0039219,0.0027805,0.0038069,0.0011494,0.0026676,0.0023300,0.0043785,0.0034661,0.0023979,0.0013945,0.0020118,0.0032226,0.0156626
