"The Domestic Supply of Commodities by Industries - Summary"
"2020, (Millions of dollars)" 
"Bureau of Economic Analysis" 
""
"","Commodities/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE","T007","MCIF","MADJ","T013","Trade","Trans","T014","MDTY","TOP","SUB","T015","T016"
"","Name","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises","Total Commodity Output","Imports","CIF/FOB Adjustments on Imports","Total product supply (basic prices)","Trade margins","Transport margins","Total trade and transportation margins","Import duties","Tax on products","Subsidies","Total tax less subsidies on products","Total product supply (purchaser prices)"
"111CA","Farms",440636,18,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",130,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",549,"---",441334,44117,"---",485451,91965,61234,153199,133,5683,-45282,-39466,599183
"113FF","Forestry, fishing, and related activities",4794,54970,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",777,"---","---","---","---",466,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",42,"---",3207,"---",64256,16704,"---",80960,11377,4414,15791,166,923,-2146,-1057,95694
"211","Oil and gas extraction","---","---",196026,0,38,104,"---","---",5,"---","---","---","---","---","---","---","---","---","---","---","---","---","---",0,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",106,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",196279,85869,"---",282147,8246,59233,67478,126,11159,-841,10444,360070
"212","Mining, except oil and gas","---","---",74,75375,64,"---","---","---",689,"---","---","---","---","---","---","---","---","---","---","---","---","---","---",177,4,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",632,"---",77016,-1054,"---",75962,9249,23419,32668,9,3124,-1053,2079,110710
"213","Support activities for mining","---","---",33324,7915,50558,"---","---","---",1,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",91798,866,"---",92664,"---","---","---","---",0,-3186,-3186,89478
"22","Utilities","---","---","---","---","---",494480,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",166,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",21,13691,1176,147700,657234,2081,"---",659315,"---","---","---","---",30553,-1663,28890,688205
"23","Construction","---",244,498,12563,7036,2802,1852389,164,223,57,676,317,13,19,130,200,95,1274,41,10,2,22,4,65,37,30,2937,2,3,354,6020,0,1604,10,323,2,111,185,17,14,48,1170,798,2,1,3,0,17955,970,47,25,5,368,51,877,10,283,559,460,28,102,159,132,973,539,350,4,425,"---",22561,"---",1939397,"---","---",1939397,"---","---","---","---",2330,-72239,-69909,1869487
"321","Wood products",10,"---","---","---","---","---","---",112759,38,"---",1232,"---",338,"---","---","---",705,70,"---","---","---",155,"---","---",0,384,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",207,"---",115899,22592,"---",138491,43478,9208,52686,647,4738,-2257,3129,194306
"327","Nonmetallic mineral products","---","---","---",423,"---","---","---",0,129407,29,158,661,12,8,2,"---",95,1,"---","---","---",392,"---",241,3,279,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",131712,23527,"---",155239,51211,27850,79061,1421,6107,-2297,5231,239531
