"The Use of Commodities by Industries - Summary"
"2020, (Millions of dollars)" 
"Bureau of Economic Analysis" 
""
"","Commodities/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE","T001","F010","F02E","F02N","F02R","F02S","F030","F040","F06C","F06E","F06N","F06S","F07C","F07E","F07N","F07S","F10C","F10E","F10N","F10S","T019"
"","Name","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises","Total Intermediate","Personal consumption expenditures","Nonresidential private fixed investment in equipment","Nonresidential private fixed investment in intellectual property products","Residential private fixed investment","Nonresidential private fixed investment in structures","Change in private inventories","Exports of goods and services","National defense: Consumption expenditures","Federal national defense: Gross investment in equipment","Federal national defense: Gross investment in intellectual property products","Federal national defense: Gross investment in structures","Nondefense: Consumption expenditures","Federal nondefense: Gross investment in equipment","Federal nondefense: Gross investment in intellectual property products","Federal nondefense: Gross investment in structures","State and local government consumption expenditures","State and local: Gross investment in equipment","State and local: Gross investment in intellectual property products","State and local: Gross investment in structures","Total use of products"
"111CA","Farms",75959,433,"---",59,26,"---",3736,"---","---","---","---","---","---","---","---","---","---",338,262460,2866,"---","---","---","---",7543,"---",1579,728,1653,345,464,"---","---","---","---","---","---",153,"---","---","---","---","---",3,"---","---","---",3,6,"---",1,1,1095,53,2140,"---",97,"---","---","---","---","---",644,22,3059,50,9,80,"---",3739,"---",369341,169503,"---","---","---","---",-3982,64322,"---","---","---","---","---","---","---","---","---","---","---","---",599183
"113FF","Forestry, fishing, and related activities",23297,6731,"---",83,"---","---","---",15769,1,"---","---","---","---","---","---","---",40,253,8690,"---",64,8796,48,17,594,1917,"---","---",1079,"---",4,"---","---","---","---","---","---",8,"---","---","---","---","---","---","---","---","---","---","---","---","---","---",235,15,4,"---",89,"---","---","---","---","---",246,329,4256,218,"---",24,22,3845,"---",76671,11902,"---","---","---","---",1349,5772,"---","---","---","---","---","---","---","---","---","---","---","---",95694
"211","Oil and gas extraction","---","---",30924,2,1,27107,"---",0,0,20,0,0,"---","---",0,"---","---","---",0,"---","---",0,0,203937,4252,1,6,2,1,0,4,"---","---","---","---","---",14,"---",0,0,0,0,"---","---","---","---","---","---","---","---","---",0,1,11,0,0,0,0,1,0,0,0,3,7,18,1,"---","---",877,"---",23011,290205,"---","---","---","---","---",-383,70248,"---","---","---","---","---","---","---","---","---","---","---","---",360070
"212","Mining, except oil and gas",2474,1,92,7224,57,10566,29420,3,10029,13195,527,127,1,98,48,98,16,143,971,32,"---",845,"---",2427,4017,61,18,"---","---","---",3,"---",206,0,7,4,"---",2,0,22,22,232,901,"---","---","---","---",243,"---","---","---","---",1047,61,472,46,261,"---",22,28,24,205,364,66,346,499,"---",676,"---",2483,8036,98766,89,46,"---","---","---",-1565,13374,"---","---","---","---","---","---","---","---","---","---","---","---",110710
"213","Support activities for mining","---","---",7170,1731,919,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",55,4,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",9879,"---",1753,"---","---",75643,-19,2223,"---","---","---","---","---","---","---","---","---","---","---","---",89478
"22","Utilities",5085,86,6037,2602,80,32468,6164,984,2470,4363,3284,1499,483,557,2040,438,349,871,8457,698,53,4034,912,4053,11204,4037,17323,3869,10160,4539,18185,29,111,64,1628,146,382,567,11545,509,332,2870,1639,2421,1052,790,1478,14,116973,1927,336,147,3525,11210,2482,367,5260,1824,6357,1718,969,405,1371,3446,19971,3563,2392,632,937,25604,2779,397156,288002,"---","---","---","---","---",3047,"---","---","---","---","---","---","---","---","---","---","---","---",688205
"23","Construction",1875,33,1549,1645,844,5556,309,128,314,437,533,333,64,95,391,86,58,169,1265,65,8,634,167,6413,1328,480,2424,707,676,501,3075,148,2138,10,219,694,579,1201,739,43,27,2245,228,2498,1367,428,264,80004,80713,189,70,13,736,733,514,30,189,198,565,189,208,135,257,469,1693,4109,9147,1327,782,33185,60340,320784,"---","---","---",676988,501002,"---",107,"---","---","---",9963,"---","---","---",19349,"---","---","---",341295,1869487
"321","Wood products",661,38,"---",249,143,"---",69748,26449,416,476,306,924,577,377,3719,339,7597,1675,593,62,1,7332,4,"---",358,2219,4961,190,995,118,1753,"---",3312,"---",90,"---",4,105,347,61,136,1375,1666,158,8,18,"---",489,9534,305,15,14,705,5,829,17,35,363,427,7,1448,8,139,803,1356,709,17,20,1,6068,243,163116,15275,"---","---",12647,183,-1964,5048,"---","---","---","---","---",1,"---","---","---","---","---","---",194306
"327","Nonmetallic mineral products",7,33,2342,497,648,72,112734,901,19112,2476,1582,2271,192,2138,8685,426,383,1120,7307,194,"---",550,2,1873,2275,2345,419,455,142,91,1704,"---",29,"---",46,"---",1,54,299,5,3,3905,887,90,56,7,"---",766,197,358,10,80,6184,49,1356,273,72,3701,2736,223,358,15,109,118,3182,1637,112,377,"---",3320,3469,207059,24363,"---","---","---","---",-1341,9450,"---","---","---","---","---","---","---","---","---","---","---","---",239531
"331","Primary metals",148,"---",7271,612,338,3,7756,502,843,68679,74170,30404,2983,15038,47321,9180,3245,8279,6371,314,"---",761,27,65,56,1519,1557,8,"---",0,1097,"---",1145,"---","---","---","---",211,"---",14,13,278,768,"---","---",2,"---",5,2913,201,"---",3,1273,57,445,305,93,40,80,13,282,9,162,13,149,313,157,253,"---",324,669,298737,1569,"---","---","---","---",-3127,27708,"---","---","---","---","---","---","---","---","---","---","---","---",324886
"332","Fabricated metal products",2136,151,8704,1184,1285,445,133256,2916,4569,5140,42138,30224,2804,9287,47089,10884,2975,6862,18761,687,67,6171,1452,643,10709,8634,4397,595,351,142,3312,73,631,1326,1179,345,815,1073,751,1084,62,14667,2467,371,321,9,29,163,4983,1100,41,832,6331,1592,3531,2358,565,363,1128,48,2082,34,424,1517,4098,3948,6809,1258,658,5543,5964,448543,47013,17729,"---","---","---",-3754,35202,"---",1400,"---","---","---",15,"---","---","---",457,"---","---",546603
"333","Machinery",5166,460,14571,5048,3886,2127,52083,750,190,1228,4774,43570,216,2630,29457,5114,78,1583,5795,33,29,1300,1518,301,5979,2382,3517,522,246,202,1486,4,85,19,263,106,74,5080,447,117,62,2963,1338,20,44,784,"---",160,189,2116,30,1060,3257,728,3709,3722,1803,984,617,247,194,27,118,83,1011,8412,1485,181,556,6776,2961,248076,26876,344124,"---","---","---",-5499,112192,"---",2306,"---","---","---",11,"---","---","---",7079,"---","---",735165
"334","Computer and electronic products",119,0,50,23,305,79,8979,1155,1647,2496,6988,12095,20865,6485,25123,9882,1302,4561,3904,907,59,1508,2075,558,7154,3514,18486,1112,512,348,3585,1,120,3,199,16,6,88,372,5759,1416,27596,5248,678,995,104,627,717,797,462,963,6006,9393,12495,4494,557,718,10660,804,270,575,25,155,225,124,5442,32578,2818,1,3202,2942,285531,194299,290763,"---",550,"---",-5244,109838,"---",36153,"---","---","---",224,"---","---","---",2039,"---","---",914152
"335","Electrical equipment, appliances, and components",3399,250,395,69,368,21,69212,2339,224,2240,3624,18581,1333,11173,8840,1811,114,1715,1638,88,6,738,187,239,1230,2234,572,295,108,576,804,0,140,21,64,681,2,23,600,5,"---",9546,457,207,133,11,"---",131,2171,226,1,998,6390,142,3095,1172,1679,21,700,1487,509,57,333,540,1021,4858,1456,1467,75,2327,4256,181423,106680,46826,"---",10274,"---",-2285,33455,"---",720,"---","---","---",22,"---","---","---",949,"---","---",378063
"3361MV","Motor vehicles, bodies and trailers, and parts",1541,114,1501,1013,446,48,4288,875,920,862,1834,18626,267,403,230255,5174,423,886,4639,93,2,1542,336,239,1846,835,10690,7444,2597,341,9543,"---",100,"---",4522,354,1,108,4791,295,215,1719,412,96,24,"---","---","---","---",1061,"---",83,4584,1347,10688,1855,487,714,1394,190,2461,200,135,173,914,23322,7950,79,1588,9921,1218,392620,357725,285918,"---","---","---",-17172,94975,"---",22545,"---","---","---",1609,"---","---","---",30459,"---","---",1168679
"3364OT","Other transportation equipment","---",31,"---",24,"---","---",3,33,"---","---",33,159,"---","---",279,43315,"---","---","---","---","---","---","---","---","---","---",21,34,"---","---","---",1082,1794,1407,0,8,"---",1974,"---","---","---",7,"---","---","---","---","---","---","---","---","---","---",204,2,63,39,"---","---","---","---",0,"---",0,"---","---",182,37613,1462,9,0,270,90048,42218,54817,"---","---","---",505,74692,"---",33572,"---","---","---",1130,"---","---","---",133,"---","---",297115
"337","Furniture and related products",1,"---","---","---","---","---",28705,210,0,"---","---",261,33,5,26,277,3818,467,"---","---","---",0,"---","---","---",332,825,289,"---",6,2395,"---","---",4,"---","---","---",21,"---",1,"---",301,334,"---","---","---","---",10406,50,"---",5,1,425,5,1,"---","---",459,82,1,97,216,278,3,289,218,"---","---",885,12,153,51896,138726,44341,"---",1057,"---",-1974,3912,"---",0,"---","---","---",0,"---","---","---",158,"---","---",238117
"339","Miscellaneous manufacturing",169,6,60,45,18,"---",1241,32,175,70,95,2928,3,962,2177,55,8,9257,71,135,233,0,9,12,718,292,1664,494,179,11,1890,0,2,"---",6,72,0,262,484,6,4,303,102,231,67,33,"---",2,685,65,73,33,3290,38,3143,748,608,25235,26935,1844,2321,49,371,49,899,1879,461,313,"---",15520,263,109407,298996,90176,"---","---","---",-2099,39408,"---",57,"---","---","---",3,"---","---","---",314,"---","---",536261
"311FT","Food and beverage and tobacco products",49887,507,"---","---","---","---","---",35,243,2,"---","---","---","---","---","---","---",7,178378,10,743,1492,707,329,2969,193,3430,9,3488,863,1130,1815,2,608,88,"---","---",91,"---",34,12,"---",185,"---","---","---","---","---","---","---","---","---",5017,103,0,"---",4279,14,5799,4636,8542,492,6169,4852,66484,2709,2705,40,507,49171,"---",408779,1191719,"---","---","---","---",2659,77778,"---","---","---","---","---","---","---","---","---","---","---","---",1680935
"313TT","Textile mills and textile product mills",257,45,"---",2,"---","---",3206,601,394,"---","---",1112,0,1,3699,1405,2489,2421,596,8674,2544,3755,370,132,9,2564,2873,107,168,25429,2604,"---","---",115,12,"---",1,86,2,7,310,22,9,"---","---","---","---",6,221,171,"---","---",758,11,1348,927,51,117,616,4209,1478,0,261,2054,501,1091,1026,224,1,3956,192,85241,92221,4133,"---",2263,"---",-737,9082,"---","---","---","---","---",1,"---","---","---",0,"---","---",192205
"315AL","Apparel and leather and allied products",39,"---","---","---","---",1,"---","---",0,"---","---","---","---","---",2004,"---","---",102,19,514,1283,"---",743,4,"---",1,1018,127,6,243,518,"---","---","---","---","---","---","---","---",4,24,954,1,"---","---","---","---","---","---",56,"---","---",35,8,290,152,45,75,111,"---",341,63,25,9,88,1360,106,19,41,5672,67,16165,365267,"---","---","---","---",-3719,4774,"---","---","---","---","---","---","---","---","---","---","---","---",382487
"322","Paper products",719,0,132,208,59,51,5052,710,1651,1440,2712,2253,298,1213,3075,636,1104,2907,36177,535,48,44500,8012,323,6956,6009,8361,191,2569,584,2934,18,88,7,176,1067,30,4390,551,2077,242,1372,315,1770,701,176,9,14,2235,1017,466,437,4510,1360,5085,312,301,1104,1117,636,1203,86,211,2260,3543,1874,209,863,61,17338,63,200714,48518,"---","---","---","---",-128,21676,"---","---","---","---","---","---","---","---","---","---","---","---",270780
"323","Printing and related support activities",18,"---",8,1,"---",2,49,13,"---","---",1,5,"---",1,3,"---","---","---",216,"---",17,"---",1038,9,203,"---",10096,157,239,117,7198,7,13,"---",784,79,2,754,11,3888,1163,486,4805,692,1586,2431,"---","---",142,285,620,315,7139,981,2982,19,960,1999,2682,195,1655,599,188,587,634,2523,819,652,35,12257,594,74950,11246,"---","---","---","---",-846,1931,"---","---","---","---","---","---","---","---","---","---","---","---",87281
"324","Petroleum and coal products",10149,443,5657,3022,1722,20851,62622,861,519,1613,987,1242,82,1324,425,116,214,720,3559,69,10,808,1322,17154,9135,968,5627,1191,679,113,1941,2510,6261,844,17400,1343,12,11385,116,393,170,944,310,8414,4482,41,583,168,8430,1943,54,1165,2078,1463,7675,2108,543,964,1557,728,666,79,854,671,3040,2973,11397,339,3048,79827,20955,363079,247344,"---","---","---","---",920,77917,"---","---","---","---","---","---","---","---","---","---","---","---",689261
"325","Chemical products",37941,1966,9628,2694,1094,2454,19593,2168,4574,1096,7693,3809,1357,2069,8065,1150,1456,6692,10702,9365,169,13324,6055,8442,226740,60837,3727,300,158,75,2653,1,317,5,195,9,2,114,1812,578,360,825,1660,223,288,21,"---",603,15213,316,276,177,26941,2318,10788,917,1752,52230,17321,4015,967,183,749,188,1038,5305,1606,1534,137,44777,4131,657937,735522,2311,"---","---","---",3138,179782,"---","---","---","---","---","---","---","---","---","---","---","---",1578690
"326","Plastics and rubber products",1938,108,200,1185,724,40,51235,729,1489,714,3322,7803,615,1990,27357,2987,5005,6919,25321,412,94,3489,875,569,13827,22916,17165,3528,2907,398,8073,8,9,0,881,35,80,4340,730,471,135,6957,712,241,142,242,1,207,975,1642,76,494,7225,281,2605,457,1010,12180,4303,2119,1432,27,203,137,9476,5883,4975,547,28,16537,3445,305183,81646,532,"---",199,"---",-1885,26864,"---","---","---","---","---",1,"---","---","---","---","---","---",412540
"42","Wholesale trade",1201,20,55,97,"---",1172,84,288,347,1008,1129,2965,352,1565,580,76,318,2465,4117,203,33,1257,92,110,3316,1719,40842,1919,408,13,17436,117,"---","---",74,"---",3,"---","---",1300,17,1372,"---",13,37,68,3,"---","---",7053,"---",150,"---","---",93,68,36,256,102,"---","---","---",65,"---",33,24,"---","---",0,39,"---",96108,"---","---","---","---","---","---",2733,"---","---","---","---","---","---","---","---","---","---","---","---",98841
"441","Motor vehicle and parts dealers","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"445","Food and beverage stores","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"452","General merchandise stores","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"4A0","Other retail","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1425,"---",750,1322,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2,"---","---","---","---","---",3499,7942,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",11440
"481","Air transportation","---","---",4,20,149,700,249,111,183,142,403,263,18,25,160,97,83,204,602,24,5,125,168,119,245,314,3962,85,24,33,119,85,23,68,673,3,7,188,31,700,389,1706,1371,2701,3015,503,224,1,6737,782,1111,2133,4705,327,6824,509,495,3068,270,409,504,91,133,119,830,909,3574,962,274,3031,59,58181,59684,"---","---","---","---","---",17353,"---","---","---","---","---","---","---","---","---","---","---","---",135217
"482","Rail transportation","---","---","---","---","---",46,0,"---","---","---","---","---","---","---","---","---","---",0,"---","---","---","---",0,"---","---","---",22,7,4,"---",13,"---",112,"---",3247,"---",15,238,22,"---","---",62,0,5,2,70,"---","---","---",19,13,5,109,0,45,"---","---",4,6,"---","---","---","---","---","---",13,153,25,512,336,"---",5106,571,"---","---","---","---","---",1330,"---","---","---","---","---","---","---","---","---","---","---","---",7006
"483","Water transportation","---","---","---","---","---",0,0,"---","---","---","---",0,"---","---","---","---","---","---","---","---","---","---","---","---",0,"---",0,0,"---","---","---","---","---","---","---","---",6,"---","---","---","---",0,"---","---","---","---","---","---","---",0,"---","---",919,70,0,0,324,0,69,"---",0,0,"---","---","---",0,1089,28,262,122,"---",2890,13102,"---","---","---","---","---",4142,"---","---","---","---","---","---","---","---","---","---","---","---",20133
"484","Truck transportation",156,"---","---","---",76,"---","---",135,56,134,492,134,107,24,99,25,60,181,116,42,12,157,64,353,107,239,3411,1264,998,837,3777,840,142,46,3574,24,28,1771,111,142,93,6,252,"---","---",31,2,"---","---",124,86,50,1392,4,307,55,22,167,202,32,81,17,3,8,102,210,1982,13,272,356,21,25625,12216,"---","---","---","---","---",1487,"---","---","---","---","---","---","---","---","---","---","---","---",39328
"485","Transit and ground passenger transportation","---",3,2,5,40,3122,449,32,55,44,120,81,5,8,51,28,24,76,179,6,1,38,48,35,76,91,527,48,5,10,89,1,462,"---","---","---",3,83,5,258,114,2540,587,1114,998,1720,69,104,2444,427,565,856,6354,125,3770,152,276,1778,1594,827,143,997,55,52,329,323,13,1,9,19271,2004,55723,27388,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",83112
"486","Pipeline transportation","---","---",449,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",449,"---","---","---","---","---","---",309,"---","---","---","---","---","---","---","---","---","---","---","---",758
"487OS","Other transportation and support activities","---",111,49,1674,4,8771,"---",887,1080,146,139,16,"---",3,9,"---",239,281,835,82,"---",584,371,1086,214,596,47609,2085,987,481,15727,13596,1748,2872,53718,347,960,31895,1930,2177,1466,419,3849,476,2930,483,"---","---","---",2240,990,649,15265,586,3835,2063,385,2375,3102,517,1301,426,464,73,430,2253,1,53,450,740,4647,245779,25155,"---","---","---","---","---",11511,"---","---","---","---","---","---","---","---","---","---","---","---",282446
