"Gross Output by Industry"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2022"
"Line","","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"1","        All industries",37081.2,37546.9,37837.0,37923.5,37499.8,34000.0,36695.5,37717.0,39195.4,40634.9,41846.9,43005.0
"2","Private industries",33080.0,33498.9,33763.8,33818.6,33370.5,29931.7,32558.6,33554.4,34910.2,36291.4,37432.8,38523.5
"3","    Agriculture, forestry, fishing, and hunting",440.3,441.3,446.4,454.5,467.2,418.3,452.9,484.4,502.6,554.6,570.3,568.4
"4","        Farms",386.5,388.5,393.7,400.5,412.5,368.2,399.7,427.9,445.1,497.3,509.7,507.1
"5","        Forestry, fishing, and related activities",53.8,52.9,52.7,54.1,54.7,50.0,53.3,56.5,57.5,57.3,60.6,61.4
"6","    Mining",585.0,599.1,582.2,575.6,524.4,319.2,379.9,425.8,498.6,538.5,584.6,647.5
"7","        Oil and gas extraction",374.9,378.0,362.5,375.8,329.3,181.7,236.5,276.6,334.3,369.1,411.9,470.0
"8","        Mining, except oil and gas",109.3,113.6,110.6,107.4,106.0,92.0,101.0,101.5,109.8,110.9,112.4,113.3
"9","        Support activities for mining",100.8,107.5,109.1,92.4,89.1,45.6,42.4,47.6,54.5,58.5,60.3,64.2
"10","    Utilities",564.6,547.0,578.9,562.2,509.3,502.6,548.5,565.3,629.0,632.7,676.2,709.8
"11","    Construction",1669.2,1706.0,1738.9,1756.7,1815.9,1735.7,1766.2,1816.5,1879.8,1894.5,1907.7,1954.8
"12","    Manufacturing",6004.9,6004.0,5924.7,5876.6,5764.5,5016.9,5612.6,5758.8,5987.4,6233.8,6441.3,6718.3
"13","        Durable goods",3088.8,3075.9,3021.0,2981.4,2927.0,2523.0,2916.5,2986.6,3061.0,3143.6,3217.6,3351.5
"14","            Wood products",112.4,110.0,109.8,109.9,110.9,103.4,114.5,123.2,131.8,139.8,141.9,143.8
"15","            Nonmetallic mineral products",132.1,132.0,132.9,130.0,131.5,130.7,132.8,135.8,137.2,136.9,136.2,145.1
"16","            Primary metals",246.0,242.3,236.0,231.0,231.4,193.7,216.3,228.5,240.6,275.8,296.0,307.1
"17","            Fabricated metal products",380.8,379.2,379.5,372.5,370.4,328.2,349.8,362.0,377.5,385.2,394.7,425.3
"18","            Machinery",393.3,399.1,394.9,386.1,379.8,351.7,383.1,400.0,408.1,424.9,431.0,452.7
"19","            Computer and electronic products",365.4,370.5,365.8,362.9,371.4,372.0,379.8,391.2,397.1,399.9,417.7,405.8
"20","            Electrical equipment, appliances, and components",131.5,131.4,131.5,131.5,131.7,121.2,126.6,132.4,140.7,142.2,143.6,152.7
"21","            Motor vehicles, bodies and trailers, and parts",716.5,731.9,707.7,686.2,656.5,461.5,725.7,705.4,716.8,702.5,705.9,757.5
"22","            Other transportation equipment",368.8,335.0,320.3,328.0,300.3,218.2,225.3,235.3,236.1,264.4,273.7,273.6
"23","            Furniture and related products",74.9,74.8,72.8,72.4,73.0,67.5,67.7,67.5,66.8,66.8,69.2,68.4
"24","            Miscellaneous manufacturing",167.1,169.8,169.7,170.8,170.2,174.8,194.9,205.3,208.3,205.2,207.9,219.4
"25","        Nondurable goods",2916.1,2928.1,2903.7,2895.2,2837.5,2493.9,2696.1,2772.2,2926.4,3090.2,3223.7,3366.7
"26","            Food and beverage and tobacco products",964.4,963.7,972.3,967.7,969.0,942.3,967.4,979.4,984.2,1003.9,1038.1,1051.4
"27","            Textile mills and textile product mills",50.7,50.2,50.5,49.9,48.8,43.6,47.7,50.0,50.5,51.3,51.5,53.4
"28","            Apparel and leather and allied products",17.1,17.3,17.0,17.4,17.3,16.6,17.9,19.3,19.3,20.2,19.9,20.7
"29","            Paper products",187.4,187.0,187.9,186.7,186.9,185.6,187.6,192.8,197.7,200.3,202.4,205.4
"30","            Printing and related support activities",82.3,81.1,83.1,83.1,82.8,73.0,78.2,79.4,79.8,80.6,80.4,83.4
"31","            Petroleum and coal products",580.9,607.6,569.5,574.9,521.2,251.9,372.3,397.6,535.5,602.5,657.1,733.5
"32","            Chemical products",783.6,775.3,779.1,773.1,769.9,754.5,785.0,810.1,816.7,885.3,916.8,951.1
"33","            Plastics and rubber products",249.8,245.9,244.3,242.4,241.5,226.5,240.0,243.7,242.6,246.2,257.4,267.8
"34","    Wholesale trade",2108.1,2129.9,2144.0,2136.4,2123.5,1858.1,2125.1,2203.0,2298.6,2420.9,2483.1,2573.3
"35","    Retail trade",1900.6,1930.7,1953.2,1965.2,1948.7,1877.6,2113.9,2125.2,2294.0,2405.0,2383.9,2440.9
"36","        Motor vehicle and parts dealers",328.0,330.8,334.4,335.0,305.1,294.4,350.6,357.1,388.7,427.4,391.5,397.6
"37","        Food and beverage stores",251.0,254.3,257.9,257.6,279.2,284.6,281.4,279.1,283.3,289.7,295.9,303.0
"38","        General merchandise stores",242.9,244.2,245.7,249.1,262.5,254.5,265.5,264.7,286.8,294.1,299.7,301.6
"39","        Other retail",1078.8,1101.4,1115.1,1123.5,1101.8,1044.1,1216.5,1224.3,1335.2,1393.8,1396.8,1438.8
"40","    Transportation and warehousing",1364.3,1385.1,1384.9,1372.7,1319.9,1007.3,1130.8,1209.2,1295.3,1378.9,1487.8,1591.2
"41","        Air transportation",251.0,256.3,259.7,264.5,218.6,65.8,105.0,116.9,140.4,180.2,224.9,243.0
