"Value Added by Industry"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2022"
"Line","","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"1","        Gross domestic product",21001.6,21289.3,21505.0,21694.5,21481.4,19477.4,21138.6,21477.6,22038.2,22741.0,23202.3,24002.8
"2","Private industries",18413.4,18685.0,18871.3,19033.4,18784.2,16846.5,18469.7,18792.2,19332.8,19998.2,20396.4,21166.6
"3","    Agriculture, forestry, fishing, and hunting",159.7,158.8,163.3,168.4,183.8,140.2,172.9,201.2,214.4,254.7,261.7,255.0
"4","        Farms",120.9,119.4,123.7,128.0,142.6,103.9,133.0,159.2,172.6,213.1,217.6,208.5
"5","        Forestry, fishing, and related activities",38.8,39.5,39.7,40.4,41.2,36.3,39.9,42.0,41.8,41.6,44.1,46.4
"6","    Mining",302.1,305.6,288.1,286.9,236.6,126.6,170.7,194.5,243.7,265.5,289.4,336.1
"7","        Oil and gas extraction",185.6,188.4,176.6,180.3,133.4,48.1,92.9,116.2,160.8,178.6,201.3,244.3
"8","        Mining, except oil and gas",57.6,59.5,59.6,59.9,59.4,53.1,56.8,57.7,61.5,63.6,63.8,65.3
"9","        Support activities for mining",58.9,57.6,51.9,46.7,43.8,25.4,21.0,20.5,21.5,23.3,24.3,26.4
"10","    Utilities",323.9,330.1,337.7,341.4,328.2,337.3,353.4,348.0,374.6,366.4,379.9,401.6
"11","    Construction",887.1,901.1,911.4,914.8,914.3,851.6,898.2,919.3,941.2,951.0,951.1,991.9
"12","    Manufacturing",2342.2,2373.6,2378.5,2389.5,2358.8,2051.5,2332.7,2344.8,2443.5,2524.7,2570.8,2714.2
"13","        Durable goods",1325.8,1330.9,1325.8,1329.1,1308.0,1134.5,1314.0,1318.9,1346.9,1375.2,1380.7,1440.0
"14","            Wood products",39.2,39.7,40.1,40.8,40.7,36.6,45.1,46.5,53.8,59.7,61.0,58.1
"15","            Nonmetallic mineral products",63.5,64.8,66.2,65.9,65.5,64.0,68.4,69.1,69.6,69.9,70.2,74.1
"16","            Primary metals",67.9,66.8,66.1,64.2,63.2,53.6,57.6,58.8,63.6,78.9,90.0,97.0
"17","            Fabricated metal products",162.0,163.2,164.0,162.6,158.0,133.9,144.5,146.9,150.6,148.2,150.9,172.1
"18","            Machinery",166.6,167.8,168.1,167.4,163.7,146.5,158.9,161.2,164.2,167.5,159.3,177.3
"19","            Computer and electronic products",308.3,308.7,302.6,311.1,315.1,303.2,323.1,328.1,335.1,340.3,348.1,338.3
"20","            Electrical equipment, appliances, and components",64.8,64.9,65.2,65.2,66.2,60.6,63.1,64.5,67.3,68.9,69.7,71.8
"21","            Motor vehicles, bodies and trailers, and parts",157.8,159.0,159.2,158.9,151.8,93.6,189.5,183.6,180.1,172.5,158.8,166.1
"22","            Other transportation equipment",167.7,166.4,164.9,163.8,156.9,117.7,126.3,121.0,124.5,137.4,139.5,141.2
"23","            Furniture and related products",31.9,32.3,32.4,32.5,32.6,29.7,31.8,32.0,29.1,29.1,30.2,30.8
"24","            Miscellaneous manufacturing",96.2,97.5,97.1,96.8,94.3,95.0,105.7,107.3,109.0,102.9,103.1,113.1
"25","        Nondurable goods",1016.4,1042.6,1052.7,1060.5,1050.8,917.0,1018.8,1025.9,1096.7,1149.5,1190.2,1274.2
"26","            Food and beverage and tobacco products",267.4,275.5,283.9,284.2,283.5,282.8,296.6,296.2,304.6,301.0,312.3,324.2
"27","            Textile mills and textile product mills",16.9,16.8,16.7,16.6,16.6,13.3,15.4,15.9,16.3,16.6,16.5,17.0
"28","            Apparel and leather and allied products",9.3,9.4,9.4,9.2,9.5,8.6,10.3,10.8,11.0,11.7,11.6,12.0
"29","            Paper products",59.3,59.8,60.1,59.7,59.7,58.2,60.2,60.8,59.8,59.3,62.3,62.8
"30","            Printing and related support activities",41.1,41.3,41.5,41.2,41.2,35.5,40.6,41.1,41.3,40.8,40.4,42.1
"31","            Petroleum and coal products",158.4,167.8,160.2,167.9,161.3,57.6,116.0,119.8,178.5,202.1,214.1,240.2
"32","            Chemical products",381.0,388.3,397.0,397.6,395.8,386.3,397.7,398.6,401.8,434.6,443.1,476.0
"33","            Plastics and rubber products",83.0,83.8,83.9,84.0,83.0,74.8,81.9,82.9,83.4,83.4,89.9,99.8
"34","    Wholesale trade",1262.8,1268.0,1283.1,1286.1,1280.9,1136.5,1275.8,1279.9,1319.4,1377.3,1390.6,1444.6
"35","    Retail trade",1142.2,1160.7,1179.8,1183.9,1185.6,1101.6,1262.0,1259.6,1331.5,1397.5,1379.1,1434.1
"36","        Motor vehicle and parts dealers",220.8,225.6,228.8,228.0,220.6,200.7,246.6,248.8,269.3,296.8,286.2,310.9
"37","        Food and beverage stores",155.8,157.1,159.6,160.8,169.5,171.8,175.2,172.3,178.1,182.4,184.0,194.2
"38","        General merchandise stores",150.7,152.5,154.3,156.9,157.7,150.2,164.7,157.3,165.4,169.8,172.6,172.1
"39","        Other retail",614.9,625.6,637.2,638.2,637.8,578.8,675.5,681.3,718.6,748.5,736.3,756.9
"40","    Transportation and warehousing",676.4,684.5,692.0,689.9,660.5,499.2,555.0,573.4,594.2,619.8,658.3,698.0
"41","        Air transportation",142.8,147.1,148.8,146.5,124.4,26.7,39.8,40.7,46.4,57.5,79.2,83.9
"42","        Rail transportation",43.1,43.1,42.5,40.9,40.4,35.0,37.1,37.7,37.7,38.3,37.5,39.0
